タイトル,あらすじ,ジャンル
私に天使が舞い降りた！,オタクで人見知りな女子大生のみやこは、小学生の妹の友達、花ちゃんと仲良くなろうと大奮闘。超絶カワイイ天使な花ちゃんに、みやこのドキドキは止まらない!,コメディ・ギャグアニメ
群青のマグメル,新たな大陸が突如姿を現してから数十年。新大陸で消息を絶った探検家の救助を生業とする青年の前に、未知の危険、人間たちの欲望、そして多くの謎が立ちはだかる。,主人公最強アニメ
Fairy gone フェアリーゴーン,妖精が兵器として扱われた戦争の終結から9年。違法妖精取締機関ドロテアに入隊したマーリヤは同郷のヴェロニカと再会。彼女は報復に燃える暗殺者となっていた。,SF・ファンタジーアニメ
異世界かるてっと,異世界を舞台とした大人気4作品のキャラクター達がさらなる異世界に転移し、ぷちキャラとなって大集合。個性的すぎる顔触れの学園生活が、にぎやかに幕を開ける!,コメディ・ギャグアニメ
荒野のコトブキ飛行隊,"一面の荒野が広がる世界。エンジン音を響かせ、大空を駆け巡る雇われ用心棒の""コトブキ飛行隊""。大事な積み荷を守るため、空賊相手に大立ち回り。",TVアニメ
ぼくたちは勉強ができない,唯我成幸は「特別VIP推薦」を得るため、受験勉強に苦戦する同級生たちの教育係に。個性的な「できない」娘たちに振り回されつつ、彼女達の入試合格のために奔走する!,コメディ・ギャグアニメ
世話やきキツネの仙狐さん,ブラック会社に勤める中野が帰宅すると、なぜかキツネの耳と尾を持つ少女が。800歳の神使のキツネ、仙狐さんが疲れた心と体を癒やす、お世話系甘やかしコメディ!,コメディ・ギャグアニメ
花とアリス殺人事件,転校先のクラスメートから、ある生徒が殺されたというウワサを聞くアリス。興味がわいた彼女は、事件について何か知っているらしい引きこもりの隣人・花を訪ねる。,劇場版アニメ
KING OF PRISM -Shiny Seven Stars-,プリズムキングカップから1年。華京院学園高等部に入学したシンは、新生活に胸を躍らせる。だが、シュワルツローズの魔の手が再びエーデルローズに忍び寄る。,青春・学園アニメ
上野さんは不器用,とある中学校の理科室、科学部部長の上野さんは、奇想天外な発明品を次々と作り出す。ところが、何を作っても大好きな後輩の気は引けず、恋する乙女心は空回り。,コメディ・ギャグアニメ
川柳少女,口下手で、五七五の川柳でしか会話ができない七々子と、コワモテだけど心優しいエイジ。同じ文芸部でともに過ごすうち、2人の間には特別なきずなが生まれて…。,コメディ・ギャグアニメ
グリムノーツ The Animation,"生まれたときに与えられる""運命の書""に書かれた脚本により生き方が決定される世界。""空白の書""をもって生まれた少年は、自らの物語をつづる旅に出る。",ビデオゲームが原作のアニメ
バキ,地上最強の父を超えるべく鍛錬を重ねる、地下闘技場チャンピオンの範馬刃牙。その首を狙い、5人の最凶死刑囚が東京に集結する。超ド級の肉弾バトル、ここに開幕!,2018年アニメ
ヴァイオレット･エヴァーガーデン,元軍人のヴァイオレット・エヴァーガーデンが見つけたのは、手紙を代筆する仕事。手紙を通して触れる様々な人の気持ちが、愛を知らない彼女の心に優しい光を灯す。,恋愛アニメ
HERO MASK,変死事件の捜査を始めた検察官のサラ・シンクレアとSSC捜査官のジェームズ・ブラッドは、この世の物とは思えない新技術を駆使したマスクと、その陰謀を追う。,SF・ファンタジーアニメ
からかい上手の高木さん,"クラスメイトの女の子・高木さんに何かとからかわれる男の子・西片。とある中学校を舞台に展開する、照れたら負けの""からかい""青春コメディ。",コメディ・ギャグアニメ
