タイトル,あらすじ,ジャンル
異世界はスマートフォンとともに。,神様の手違いで死んでしまった冬夜が目覚めると、なんとそこは異世界だった。異世界でも使えるようにしてもらったスマホを手に、見たこともない冒険にいざ出発!,コメディ・ギャグアニメ
GRANBLUE FANTASY The Animation,舞台は空中に島が漂う空の世界。少年・グランと相棒のビィは、軍事国家・エルステ帝国から逃げてきた少女・ルリアと出会う。,ビデオゲームが原作のアニメ
けものフレンズ,ここは、動物達が女の子の姿に変身してのんびり暮らす超巨大総合動物園。迷子に出会ったアニマルガール達は帰り道を探すのを手伝い、みんなでにぎやかに大冒険!,ビデオゲームが原作のアニメ
恋と嘘,政府が結婚相手を決定する世界。拒否するという選択肢は、そこにはない。でも10代の少年少女にとって、恋するひたむきな想いは制御できるものではなかった。,コメディ・ギャグアニメ
亜人 OAD 3 「佐藤ZERO」,戦闘で致命傷を負った佐藤は、初めて亜人を目にした日のことを思い出す。日本で大惨事を引き起こす前、軍隊に所属していた佐藤の激烈なる過去が明かされる。,ミリタリー・戦争アニメ
はじめてのギャル,悲願の脱童貞を果たすため、非モテ高校生は全力で土下座してギャルに告白。すると、返事はまさかのOK! 予想外の結果に、彼の運命は斜め上の方向に展開してゆく!,コメディ・ギャグアニメ
劇場版総集編 白鳥沢学園高校戦『ハイキュー!! コンセプトの戦い』,春の高校バレー宮城県予選、決勝戦進出を果たした烏野高校排球部。宮城県の絶対王者と名高い白鳥沢学園高校を相手に、春高出場をかけた激戦に真っ向からいどむ。,スポーツアニメ
LUPIN THE IIIRD 血煙の石川五エ門,"鉄竜会組長の用心棒をしていた石川五ェ門が、かつてない危険な敵と対峙する。それは斧を武器に使う大男、""バミューダの亡霊""と呼ばれる殺戮の兵士だった!",国内アクション・アドベンチャー
妖怪アパートの幽雅な日常,両親を亡くした稲葉夕士は、高校入学を機に安アパートで1人暮らしを始める。だが、そこで夕士を待っていたのは、この世のものではない奇妙な隣人たちだった!,SF・ファンタジーアニメ
終末なにしてますか？忙しいですか？救ってもらっていいですか？,"正体不明の""獣""たちに侵略され、人類さえも滅ぼされた世界。1人生き残ってしまったことに絶望する男が、ある少女たちに出会い、生きる目的を見出していく。",SF・ファンタジーアニメ
亜人ちゃんは語りたい,個性的な「亜人 (デミ) 」ちゃんたちと、高校生物教師・高橋鉄男が繰り広げる、ちょっと刺激的でハートフルな学園亜人コメディ!,コメディ・ギャグアニメ
劇場版 魔法科高校の劣等生 星を呼ぶ少女,春休みに小笠原諸島で羽を伸ばしていた深雪と達也たちが出会ったのは、謎に満ちた不思議な少女。達也にある願いを告げる彼女は、大きな陰謀の鍵とされていた。,主人公最強アニメ
映画プリキュアドリームスターズ!,別の世界からきた少女サクラに助けを求められたプリキュア。からすてんぐに連れ去られたキツネのシズクを救うため、プリキュアたちはいざサクラの世界へ...!,アニメ
ロクでなし魔術講師と禁忌教典,"魔導大国・アルザーノ帝国の南部に位置する由緒正しきアルザーノ帝国魔術学院。ここに赴任して来た""ロクでなし""の非常勤講師の破天荒な授業がはじまる。",主人公最強アニメ
夜明け告げるルーのうた,寂れた漁港の町で鬱屈した日々を送る中学生のカイ。その運命を変えたのは、人魚の少女ルーとの出会いだった。2人のきずなが紡ぎだすフシギで切ないひと夏の物語。,国内SF・ファンタジー
武装少女マキャヴェリズム,乱闘事件を起こして前の高校を追放された、自由を愛する男、納村不道。転校先は武装した女子が力で男子を支配する学園だった。波乱に満ちた新生活が幕を開ける。,主人公最強アニメ
スナックワールド,少年は愛する村を破壊され、全てを失った。故郷や家族をうばった敵を追い、少年は冒険の旅へ出発。何が待っていようとも、仲間といっしょならへっちゃらだ!,キッズTV番組
ボールルームへようこそ,ごく平凡な男子中学生・多々良は、ひとつでも胸を張って好きだと言えるものを探していた。あるきっかけで競技ダンスの世界に飛び込み、何もない自分を変えていく。,スポーツアニメ
ゼロから始める魔法の書,世間から忌み嫌われる半人半獣の傭兵は、人間の姿に戻すことを条件に、気高き魔女の旅の護衛となる。盗まれた禁断の魔法書を取り戻し、世界を滅亡から救え!,SF・ファンタジーアニメ
劇場版総集編 青葉城西高校戦『ハイキュー!! 才能とセンス』,春高予選準決勝。合同合宿で進化した烏野高校排球部の対戦相手は、因ねんの青葉城西高校。烏野は出だしから激しくせめるが、流れは青城にかたむき始め...。,スポーツアニメ
ガヴリールドロップアウト,"人間界にやってきた品行方正な天使ガヴリールは、人間界に馴染みすぎて、ぐうたら自堕落生活を満喫する""駄天使""と化してしまう。天使の本分はどこへやら。",コメディ・ギャグアニメ
僕の彼女がマジメ過ぎるしょびっちな件,高校生の篠崎遥は、憧れの美少女・香坂秋穂に告白し、2人はめでたく恋人同士に。ところが、彼女はおかしな恋の努力を始め、交際は予想外の方向へ加速してゆく!,コメディ・ギャグアニメ
王様ゲーム The Animation,クラス全員が受信した奇妙なメール。誰もがイタズラだと思ったそのメールの意味を、1人の転校生は知っていた。理不尽な死のゲームの幕がいま切って落とされる。,サスペンス・ホラーアニメ
ゲーマーズ!,雨野景太は平凡な高校生で、ぼっちなゲーマー。そんな彼が学園一の美少女からゲーム部へと勧誘され、個性豊かなゲーマー達とのドタバタな日々が幕を開ける!,コメディ・ギャグアニメ
ネト充のススメ,"独身、脱サラニートの三十路女・森子が、ホンモノの充実を求めて行き着いたのは、ネットゲームの世界。""ネトゲ""の中で、イケメン男子として新生活に踏み出した。",コメディ・ギャグアニメ
笑ゥせぇるすまん NEW,悩みを抱える人々の前に現れ、その願望を叶えてくれる笑うせぇるすまん・喪黒福造。だが、約束を破ったり忠告を聞かなかったりすると、大きな代償が待っている。,2017年アニメ
ガールズ&パンツァー 第63回戦車道全国高校生大会 総集編,大洗女子学園の学生たちが他のチームとのバトルを戦い抜いた第63回戦車道全国高校生大会を、ハイライトシーンを集めたコンピレーションで振り返る。,国内アクション・アドベンチャー
ピングーinザ・シティ,氷に囲まれた小さな集落から大都会へとひっこしてきた、いたずら好きのペンギン、ピングー。そのこうき心と思いやりで、毎回思わぬ大そうどうを巻き起こすよ!,キッズTV番組
映画 妖怪ウォッチ シャドウサイド 鬼王の復活,ケータたちの世界から30年後。数千年に一度地球をおそう最悪の妖怪(ようかい)ウィルスが出現。新たな妖怪ウォッチに選ばれし者が、妖怪退治に乗り出す。,ビデオゲームが原作のアニメ
このはな綺譚,狐っ娘、柚があの世とこの世の間にある宿場町、此花亭で働くことに。期待に胸をふくらませる彼女は個性的な先輩たち皐、棗、蓮たちに迎えられ仲居修行を始める。,SF・ファンタジーアニメ
サンリオ キャラクターズ ポンポン ジャンプ!,"ハローキティ、マイメロディ、ぼんぼんりぼんなど人気キャラクターといっしょにダンスや歌、アニメを楽しもう。あこがれの仕事やいろんな""ふしぎ""も学べるよ!",キッズ音楽
デジモンアドベンチャーtri. 第4章「喪失」,リブートされたデジタルワールドに来た太一たち。そこには芽心を探し憔悴したメイクーモンの姿が。子どもたちはメイクーモンと芽心を会わせることを決意する。,キッズアニメ
KING OF PRISM -PRIDE the HERO-,エーデルローズでは、プリズムキングカップへの出場を目指して新入生がレッスンに励んでいた。だが、シュワルツローズの陰謀によりエーデルローズは解散の危機に。,ビデオゲームが原作のアニメ
デジモンアドベンチャーtri. 第5章「共生」,デジタルワールドからそがいされ、現実世界でも人々に追われる選ばれし子供たち。強大すぎるメイクーモンが暴走し、世界ほうかいへのカウントダウンがはじまる。,ビデオゲームが原作のアニメ
ハローキティとピンキー&リオのようこそ! ポンポンタウン! ~まほうのレストラン~,"ポンポンタウンにある""まほうのレストラン""。ハローキティとピンキー&リオがうでをふるって作るおいしいお料理で、お腹をすかせたお客さんたちもハッピーに。",2017年アニメ
斉木楠雄のΨ難,高校生、斉木楠雄は超能力者。何でも自由自在だが、意外にもそれが災いの元。超能力を封印して静かに暮らしたいのに、なぜか災難が次から次へとやって来る!,コメディ・ギャグアニメ
聲の形,小学校で、耳の聞こえない転校生の女の子をいじめてしまった少年。罪の意識にさいなまれながらも、やり直したいと思う少年は、高校生になった少女を訪ねる。,日本アカデミー賞受賞映画
GANTZ:O,あの世からなぜか蘇った死んだはずの人間たち。東京と大阪の街でハイテク武器を手に、力を合わせて謎の星人軍団と終わらない激しい戦闘をくり広げる。,国内SF・ファンタジー
この素晴らしい世界に祝福を！,事故で命を落としたゲーム好きの高校生カズマに、女神アクアが持ちかけたのはRPGゲームのような異世界への転生。平凡な冒険者カズマが過ごす異世界ライフ。,コメディ・ギャグアニメ
この世界の片隅に,生まれ育った広島市を離れ呉の町に嫁いできたすずは、つつましくも明るく一家の生活を支えていた。だが戦争は非情にも彼女の大切なものを次々と奪ってゆく。,日本アカデミー賞受賞映画
Re：ゼロから始める異世界生活,コンビニからの帰り道、突如異世界へと召喚されてしまった普通の男子高校生、スバル。途方に暮れる彼に手を差し伸べたのは、美しい銀髪の少女だった。,SF・ファンタジーアニメ
モブサイコ100,どう見ても外見は地味な中学生の茂夫。でも実はものすごい超能力の持ち主。普段は抑えている感情が100%を超えると、どうやら力が大爆発してしまうらしい。,コメディ・ギャグアニメ
亜人,決して死なない亜人だと判明し、警察や政府から追われる高校生・永井圭。逃亡中に出会った亜人・佐藤が助けを申し出るが、佐藤の狙いは一体...。,SF・ファンタジーアニメ
ONE PIECE FILM GOLD,"世界中の大富豪たちが集う、世界最大のエンターテインメントシティー""グラン・テゾーロ""。そこでルフィたちの前に、絶対的な支配者ギルド・テゾーロが現れる。",国内アクション・アドベンチャー
機動戦士ガンダムユニコーン RE:0096,"宇宙世紀0096年。青年バナージ・リンクスは、""ラプラスの箱""の鍵となる純白のモビルスーツ""ユニコーンガンダム""と運命の出会いを果たす。",ロボット・サイボーグアニメ
文豪ストレイドッグス,"街を彷徨う孤独な青年・中島敦は""武装探偵社""に入社することに。探偵たちは異能の力を持ち、ヨコハマを脅かす組織ポートマフィアとの戦いを繰り広げていた。",サスペンス・ホラーアニメ
3月のライオン,17歳にして厳しいプロの世界を生きる天才棋士。幼くして家族を失い、孤独に閉ざされたその心の扉を開いたのは、肩を寄せ合い暮らす3姉妹の温かな笑顔だった。,青春・学園アニメ
だがしかし,家業の駄菓子屋を継ぎたくないココノツは夏休みのある日、駄菓子マニアの不思議な美少女・ほたるに出会う。美味し懐かし駄菓子コメディをお腹いっぱい召し上がれ!,コメディ・ギャグアニメ
僕だけがいない街,時間を逆行して過去を訪れ、悪事を阻止する特殊能力を持つ藤沼悟。ある日、目が覚めると18年前にタイムリープ。当時殺害された同級生を救うチャンスが訪れる。,サスペンス・ホラーアニメ
ベイブレードバースト,"バトル専用ゴマ""ベイブレード""に夢中な少年・蒼井バルトは、世界一のベイブレーダーを目指し、相棒のベイ・ヴァルキリーとともに全国大会を目指す。",アクションアニメ
マギ シンドバッドの冒険,"これが、もう1つのマギ-- のちに""七海の覇王""とよばれる少年・シンドバッドは様々な出会いや別れのなかで成長し、そしてやがて王へと到る道を突き進む-----。",SF・ファンタジーアニメ
甲鉄城のカバネリ,産業革命の時代、突然現れ、爆発的に増殖し続ける不死の怪物・カバネ。世界が恐怖におののく中、日ノ本に住む蒸気鍛冶の少年・生駒が、カバネの脅威に立ち向かう。,SF・ファンタジーアニメ
灰と幻想のグリムガル,"名前以外の記憶をすべて失くし、暗闇で目を覚ましたハルヒロ。自分と同じ境遇らしき数名の男女とともに踏み出した先には、謎の世界""グリムガル""が広がっていた…。",SF・ファンタジーアニメ
クロムクロ,謎の遺物・アーティファクトを調べる研究所は、襲撃を受け大混乱に。迫る脅威を前に、アーティファクトと共に若きサムライが目を覚ます。いざ、敵の殲滅に参らん!,ロボット・サイボーグアニメ
ユーリ!!! on ICE,グランプリファイナルで惨敗したフィギュアスケーター勝生勇利。世界選手権5連覇のヴィクトル・ニキフォロフがコーチにつき、勇利に第2のチャンスが訪れる。,スポーツアニメ
甘々と稲妻,料理がまったくできない高校教師、犬塚はひとり娘と暮らすシングルファーザー。ふとしたきっかけで教え子の女子高生、小鳥と一緒にごはんを作って食べることに。,アニメ
亜人 OAD 2「Intermission」,戦いから離れ、日常生活を送る亜人達。不死の生物として恐れられる彼らの悩みは意外にも普通かと思いきや、解決方法は人間離れ。彼らの意外な素顔がここにある。,SF・ファンタジーアニメ
ねじ巻き精霊戦記 天鏡のアルデラミン,怠け者で女好き。軍人と戦争には興味がない男にある日、運命の出会いが訪れる。その瞬間から、彼は自分の意思とは関係なく戦争に巻き込まれていくのだった。,ミリタリー・戦争アニメ
亜人 OAD 1「中村慎也事件」,"大学生の中村慎也に突き付けられる、衝撃的な事実。彼は、決して死なない生物""亜人""だった。残酷な運命に脅える彼は、亜人である事実を隠そうとするのだが…。",SF・ファンタジーアニメ
昭和元禄落語心中,元チンピラの与太郎は、出所後真っ先に寄席に向かい、大名人・八雲に懇願し、何とか住込みの弟子にしてもらう。そこから、与太郎の試練の日々が始まった。,歴史アニメ
ジョーカーゲーム,"世界大戦の火種がくすぶる昭和12年、帝国陸軍中佐が設立したスパイ養成部門""D機関""。味方を欺き、敵の裏をかき、世界を暗躍するインテリジェンス・ミステリー。",サスペンス・ホラーアニメ
魔法つかいプリキュア!,"中学生の朝日奈みらい、魔法つかいのリコ、クマのぬいぐるみ""モフルン""が手をつなぎ、魔法の言葉をとなえると...。伝説の魔法つかい""プリキュア""に変身!",キッズTV番組
終末のイゼッタ,1940年、アルプスの小国エイルシュタット公国に忍び寄るゲルマニア帝国の魔の手。徹底抗戦を誓う人々は、魔女のイゼッタとともに大国に立ち向かっていく。,ミリタリー・戦争アニメ
鷹の爪8 吉田くんのX (バッテン) ファイル,"未来からタイムトラベルでやってきた捜査官。小学生の吉田くんが""呪いのビデオ""捜索に巻き込まれ、不思議な出来事が次々に出現! はたして大冒険の結末は?",アクションコメディ
Occultic;Nine -オカルティック・ナイン-,我聞悠太の運営するブログをきっかけに、おかしな同志が集まり始め、周囲で巻き起こる違和感の数々が、やがて大事件に発展し…,SF・ファンタジーアニメ
ReLIFE,"失業し、途方に暮れていた海崎新太は""リライフ""という社会復帰プログラムに誘われる。それは秘薬で若返り、1年間高校生として学校に通うというものだった。",恋愛アニメ
この美術部には問題がある!,とある中学の美術部で、才能はあるが変わり者の部員たちに囲まれて過ごす宇佐美みずき。ちゃんと部活動をしようとしても、いつも関係のないことで騒がしい。,コメディ・ギャグアニメ
キズナイーバー,僕らはキズでツナがっている――!! 互いの傷を背負うことになった、少年少女たちのひと夏の物語がここから始まる!,SF・ファンタジーアニメ
デジモンアドベンチャー tri. 第2章「決意」,"高校生の現実と自分たちの使命になやみ、迷ってゆく""選ばれし子どもたち""。そんな中、ミミの取った行動は、最悪の結果に。それぞれの決意が今、試される。",ビデオゲームが原作のアニメ
黒子のバスケ ウインターカップ総集編 ～扉の向こう～,"もうひとつの準決勝・秀徳VS洛山戦。そして、ついに決勝戦。かつて""キセキの世代""の主将を務めた天才選手が率いる絶対王者に誠凛が食らいつく。",スポーツアニメ
映画 妖怪ウォッチ 空飛ぶクジラとダブル世界の大冒険だニャン!,さくらニュータウンに空飛ぶ巨大クジラがとつぜん現れ、ケータや妖怪たちが実写に! アニメと実写ダブルの世界で、ありえニャイ大冒険がはじまるニャン!,ビデオゲームが原作のアニメ
planetarian～星の人～,滅びゆく世界に生きるレビ、ヨブ、ルツの前に現れた不思議な旅人。彼こそは、失われた星の美しさを語り継ぐ伝説の人。その壮大な人生の旅の物語が今幕を開ける。,ビデオゲームが原作のアニメ
劇場版 しまじろうのわお! しまじろうと えほんのくに,しまじろうが海辺で見つけたなつかしい本。それは、ふしぎな世界への入り口だった…! 絵本の中に吸いこまれたしまじろうと仲間たちの大ぼう険へようこそ。,キッズ音楽
デジモンアドベンチャーtri. 第3章「告白」,メイクーモンが姿を消した。選ばれし子どもたちは、デジモンの感染が現実世界まで拡大するのを防ごうとする。残された唯一の方法は、リブートしかないのか…。,ビデオゲームが原作のアニメ
映画 プリキュアオールスターズ みんなで歌う 奇跡の魔法!,人間界に遊びにきたみらいとリコだが、突然現れた魔女のソルシエールと仲間の魔法で離れ離れに! 魔女の狙いは、最悪の魔法の完成に必要なプリキュアの涙だった。,キッズ音楽
黒子のバスケ ウインターカップ総集編 ～影と光～,"ウインターカップ1回戦、誠凛はインターハイのリベンジを果たすべく桐皇学園に挑む。黒子は、かつての""光""だった元チームメイトの青峰と向き合う。",スポーツアニメ
ネトゲの嫁は女の子じゃないと思った？,"高校生の西村英騎はネトゲ内で告白され""結婚""することに。過去のトラウマから、女の子のはずがないと考えていたが、""ネトゲの嫁""は本物の美少女だった!",コメディ・ギャグアニメ
黒子のバスケ ウインターカップ総集編 ～涙の先へ～,"ウインターカップを勝ち進む誠凛バスケ部。""キセキの世代""の選手を擁する強豪チームを相手に激しい攻防戦を繰り広げ、準々決勝、準決勝へと駒を進めていく。",スポーツアニメ
映画 魔法つかいプリキュア! 奇跡の変身! キュアモフルン!,100年に1度の大魔法フェスティバル。願いの石に選ばれたモフルンはナゾのクマ・ダークマターに連れ去られてしまう。でも、みんなの願いがキセキを起こす!,アニメ
ポッピンQ,"中学の卒業式当日、海で""時のカケラ""を拾い、""時の谷""に迷い込んだ伊純。そこで悩みを抱える少女5人が出会い、ダンスを通して、前に進み始める。",キッズ・ファミリー映画
KING OF PRISM by PrettyRhythm,華々しいデビューを飾ったOver The Rainbowのライブでプリズムショーに魅了された一条シンは、プリズムスタァを夢見て養成校エーデルローズに入学する。,ビデオゲームが原作のアニメ
ワンパンマン,どんな強敵でも一撃で倒せる無敵のヒーロー、ここに参上。その意外な悩みは、強すぎるせいで誰が相手でも本気を出せないこと。最強なのも、意外とつまらない!?,コメディ・ギャグアニメ
ダンジョンに出会いを求めるのは間違っているだろうか,地下迷宮ダンジョンを保有する迷宮都市オラリオ。女の子との出会いを求めて危険なダンジョンに挑む冒険者志望のベル・クラネルは、ある日女神ヘスティアと出会う。,主人公最強アニメ
ドラゴンボール超,宇宙のかなたでねむりから目覚めた破壊神ビルスは、ライバルになりうる強者を予知夢で見たという。もしかして、それは悟空のことなのか? 異次元の大バトル開幕!,週刊少年ジャンプが原作のアニメ
攻殻機動隊 新劇場版,"総理大臣暗殺という衝撃の事態に揺れる日本。捜査にあたった草薙素子率いる""寄せ集めメンバー""は、世界の将来を左右する電脳ウイルスの存在をつかむが…。",国内SF・ファンタジー
オーバーロード,"時は2138年。オンラインゲーム""ユグドラシル""はサービス終了を迎えたはずが、最後のプレイヤーがなぜかログアウトできない。彼に一体何が起きたのか。",主人公最強アニメ
食戟のソーマ,料理人を目指して日々精進する創真は、日本屈指の料理学園・遠月茶寮料理學園に入学。ハイリスクハイリターンな料理対決に挑み、料理の腕前で旋風を巻き起こす!,週刊少年ジャンプが原作のアニメ
ドラゴンボールZ 復活の「F」,フリーザ軍の残党、ソルベとタゴマはドラゴンボールを使い、フリーザをよみがえらせた。悟空とベジータは、復活してパワーアップした宿敵との空前絶後の戦いへ!,日本アカデミー賞受賞映画
ルパン三世 PART4,世紀の大泥棒ルパン三世が、イタリアとサンマリノ共和国を股にかけて大暴れ。盗むお宝は金銀財宝か、それとも美女のハートか。狙った獲物は絶対に逃がさない。,アクションアニメ
新あたしンち,タチバナ家の生活をのぞいてみよう。なぜかいつもバタバタのこの家族。おかしな出来事がたくさん起こるから、災難さえもタチバナ家では日常なのだ。,コメディ・ギャグアニメ
おそ松さん,"昭和の名作ギャグ漫画""おそ松くん""の6つ子が成長を遂げて帰ってきた! 大人になってもマイペースに生きる、おそ松達。伝説的作品が蘇り、今再び幕を開ける!",コメディ・ギャグアニメ
サイボーグ009VSデビルマン,悪の組織ブラックゴーストの手でサイボークとなった9人の戦士たち。デーモンと合体して生まれたデビルマン。2大ヒーローが対決することに...。,ロボット・サイボーグアニメ
監獄学園（プリズンスクール）,共学になった元女子高に、男子生徒はたった5名。女風呂をのぞこうとした彼らは、懲罰棟で裏生徒会の美女達にお仕置きされる羽目に。監獄生活に希望はあるのか?,コメディ・ギャグアニメ
GATE 自衛隊 彼の地にて、斯く戦えり,"東京銀座に突如現れた謎めいたゲート。その門の向こう側に広がる新世界""特地""の探索と攻撃ため、予備自衛官だった伊丹耀司は特別部隊の一員として突入する。",主人公最強アニメ
うしおととら,中学生の潮は、ある日「獣の槍」によって長年封じ込められていた大妖怪に出会う。「獣の槍」の伝承者となった潮と大妖怪「とら」が、共に悪に立ち向かう...!,SF・ファンタジーアニメ
血界戦線,異界と人界とが交差するヘルサレムズ・ロット。新聞記者としてこの街にやってきた少年は、ふとしたことから街の均衡を守るために暗躍する秘密結社の一員になる。,SF・ファンタジーアニメ
終わりのセラフ,未知のウイルスにより大人が全滅した世界。吸血鬼の食糧として虐げられてきた者たちが、いま反撃ののろしを上げる。地獄のような日々に終止符を打つために。,SF・ファンタジーアニメ
機動戦士ガンダム サンダーボルト,地球連邦とジオン公国の戦争が続く中、死闘を繰り広げる連邦のイオ・フレミングとジオンの名狙撃手ダリル・ローレンツは悟る。2人は、殺し合う宿命なのだと…。,ロボット・サイボーグアニメ
干物妹! うまるちゃん,うまるは理想的な女子高生。頭も良く、かわいくて、性格も良い。でも家に帰ると、おやつ片手にゲーム三昧のグータラ娘に変身。その真実を知るのは兄だけだ。,コメディ・ギャグアニメ
攻殻機動隊 Arise Pyrophoric Cult,電脳ウィルスによる事件をきっかけに、草薙素子に訪れる運命の出会い。衝突を繰り返しながら、志を共にする仲間は集う。これは、攻殻機動隊結成前夜の物語。,ロボット・サイボーグアニメ
新妹魔王の契約者,元々は勇者の一族だった東城刃更。父が再婚を宣言、義理の妹になる2人の美少女と同居することに。だが2人は先代魔王の娘とサキュバスだった!?,主人公最強アニメ
しまじろうのわお! シリーズ,しまじろう、みみりん、とりっぴいのクラスにネコのにゃっきいがやってきた。あたらしいお友だちがくわわって、ちゃれんじ島の毎日がますますにぎやかに。,キッズ音楽
劇場版「進撃の巨人」後編〜自由の翼〜,それは人類の救世主か、それとも破滅に導く悪魔か...。巨人を倒すため、自ら巨人化する少年の運命はいかに。アニメ界にその名を轟かせた作品の劇場版後編。,国内SF・ファンタジー
がっこうぐらし!,楽しい学園生活に夢中の愛らしい女子高生達。仲間と部活があれば何もいらない! そう、自分達がゾンビ感染最後の生存者という現実から逃避していたとしても。,サスペンス・ホラーアニメ
赤髪の白雪姫,りんごのような珍しい髪色を気に入られ、王子の愛妾にされかけた白雪。故郷を離れ隣国へとやってきた彼女は、そこでクラリネス王国の王子・ゼンと出会う。,恋愛アニメ
屍者の帝国,19世紀末の英国、医学生のジョン・ワトソンは、死者をよみがえらせる禁断の技術を記した手記の捜索を命じられる。手記を巡る混乱が迫る中、壮大な旅が始まる。,国内SF・ファンタジー
下ネタという概念が存在しない退屈な世界,"あらゆる性的表現が統制された社会。下ネタテロリストを父に持つ青年はある日、自由を求めて戦う下ネタテロ組織""SOX""のメンバーにさせられてしまう。",コメディ・ギャグアニメ
櫻子さんの足下には死体が埋まっている,"北海道・旭川に住む平凡な高校生が、名家のお嬢様でありながら三度の飯より""骨が好き""な美人標本士・櫻子とかかわり、""骨""にまつわる事件に遭遇していく。",サスペンス・ホラーアニメ
学戦都市アスタリスク,熱き魂が疾走する学園バトルエンタメここに開演!,主人公最強アニメ
艦隊これくしょん -艦これ-,人類が制海権を失い、海を蹂躙する深海棲艦が出現。その脅威に対抗すべく、艦娘と呼ばれる在りし日の艦艇の魂を持つ娘たちが、今ここに団結し立ち上がる!,ビデオゲームが原作のアニメ
デジモンアドベンチャーtri. 第1章「再会」,"太一は高校生になり、かつての冒険は遠い昔のよう。そんなある日、デジモンが暴れ出す事件が発生。太一と""選ばれし子どもたち""の物語が、再び動き始める。",ビデオゲームが原作のアニメ
映画 妖怪ウォッチ エンマ大王と5つの物語だニャン!,5つの物語を通して、妖怪と人間の絆を描き出す「妖怪ウォッチ」劇場版第2弾。おなじみのキャラたちが、人間界と妖魔界を舞台に繰り広げるドキドキの大冒険!,ビデオゲームが原作のアニメ
OVA 東京喰種トーキョーグール 【JACK】,高校生の富良太志は、喰種に襲われた親友の敵討ちを決意。同じクラスの有馬貴将と協力して、姿を消した犯人の行方を追いかける。2人の捜査官の、若き日の物語。,主人公最強アニメ
対魔導学園35試験小隊,"異端審問官を目指す草薙タケルは対魔導学園に通う生徒。剣の腕前は誰にも負けないが、銃の才能に欠ける彼は、劣等生の寄せ集め""35試験小隊""の隊長を務める。",主人公最強アニメ
ハーモニー,"""大災禍""から復興し、健康と調和を重んじる高度な医療社会に移行した近未来。自殺未遂の過去を持つ螺旋監察官の霧慧トァンが、謹慎処分で日本に帰国してくる。",国内SF・ファンタジー
リトルウィッチアカデミア 魔法仕掛けのパレード,アッコとルーナノヴァ魔法学校の同級生が、魔女狩りの歴史を再現したパレードに参加することに。でもどうせならこのイベント、もっとポジティブにしたい!,国内SF・ファンタジー
アブソリュート・デュオ,自らの魂を武器へと具現化させる力を持つ者に戦闘技術を教える学校、昊陵学園。新入生の九重透流は、戦いの日々へと身を投じる。魂焦がす学園バトルアクション!,SF・ファンタジーアニメ
K RETURN OF KINGS,それぞれの属性からなる異能の力を持った7人の王と王自らの力を分け与えたクランズマンたち。その1人が亡き者となった今、それぞれの思惑や運命が交錯する。,主人公最強アニメ
劇場版 蒼き鋼のアルペジオ -アルス・ノヴァ- Cadenza,幾多の戦闘をくぐり抜け、ついに人類の切り札をアメリカに届けることに成功した千早群像とイオナ、そして乗組員たち。だが、群像の目的は、他にあった…。,主人公最強アニメ
しまじろうとおおきなき,しまじろうと仲間たちは、大きな木のある島に到着。いじわるなクモのきょうだいにさらわれてしまったはなちゃんを助けることができるのか?,キッズ音楽
劇場版 蒼き鋼のアルペジオ -アルス・ノヴァ- DC,"謎に包まれた""霧の艦隊""が世界の海域を封鎖。疲弊する人類を救う最後の切り札を量産するため、若き日本の士官候補生らを乗せた潜水艦が、アメリカを目指す。",主人公最強アニメ
劇場版 弱虫ペダル,インターハイ優勝後、熊本でのレースに招かれた総北高校自転車競技部。全国の強豪との激闘に向け、メンバーは気合い満点。だが、予期せぬ事態が待ち受けていた。,スポーツアニメ
長門有希ちゃんの消失,「涼宮ハルヒ」シリーズのもうひとつの世界で繰り広げられるスピンオフ物語。内気な少女、長門有希は、自分とは対照的な友人に密かな恋心を抱いているのだが…。,恋愛アニメ
映画 ハイ・スピード! -Free! Starting Days-,中学生になり、水泳部へ入った遙と真琴。新たな仲間達とメドレーリレーのチームを組むが、前途は多難。少年達は悩みを抱えながら、本当のチームを目指してゆく。,スポーツアニメ
天才バカヴォン～蘇るフランダースの犬～,バカボンを狙う悪の組織が送り込んだ刺客は、あの名作の主人公ネロとパトラッシュだった! 人間への復讐心に燃えるネロと天才バカボンの戦いの行方やいかに?!,コメディ・ギャグアニメ
映画 プリキュアオールスターズ 春のカーニバル,ハルモニアで春のカーニバルが開幕! 先輩プリキュアの歌とダンスに大感激の春野はるか。ところが、妖精たちが行方不明になり、会場はパニックに...!,アニメ
劇場版総集編 前編 『ハイキュー!! 終わりと始まり』,バレーボールに夢中の日向が目指すのは、全国の頂点に立つこと。意気揚々と高校に入学した日向だったが、チームの中には因縁のライバル、影山の姿があった。,スポーツアニメ
劇場版総集編 後編 『ハイキュー!! 勝者と敗者』,全国大会を目指し奮闘を続ける烏野高校が挑む、絶対に負けられない県予選。強豪チーム相手に苦戦する日向と影山は、己の限界を超え、勝利を掴みとれるのか?!,スポーツアニメ
OVA 東京喰種トーキョーグール 【PINTO】,美食の喰種・月山習と堀ちえの最初の出会い。それは、高校時代にさかのぼる。ホリチエは月山の捕食の瞬間を激写するのだが、彼女は怖がるそぶりを全く見せない。,主人公最強アニメ
映画かいけつゾロリ うちゅうの勇者たち,大ブームのうちゅうの石をさがし始めたゾロリたちは、ひょんなことからうちゅうに放り出される。たどり着いたナゾの星で、かいじゅうたいじを引き受けるハメに。,キッズ・ファミリー映画
