タイトル,あらすじ,ジャンル
ワイルド･スピード,「トリプルX」「リディック」ヴィン･ディーゼルが超ハイ･スピードで駆け抜ける!! ストリート･カーレースに大金を賭ける若者たちが、夜な夜な集まるロサンゼルス。その中でも一目置かれる凄腕ドライバー、ドミニク (ヴィン･ディーゼル) にレースを挑んでくる無謀な連中を相手に、彼は1レースで1万ドルを稼ぎ出す! そんなある日、驚異のドライビング･テクニックを持つブライアン (ポール･ウォーカー) が無敵のマシーンとともに現れドミニクに勝負を挑むことになる!,"アクション,サスペンス／ミステリー"
ワイルド･スピードX2,あらゆる人種が集まる街マイアミ。今晩も熱狂的なギャラリーが見守る中、大金を賭けたストリート･レーシングが行われている。この壮絶なレースで、スゴ腕女ドライバー、スーキー (デヴォン･アオキ) を制して勝利したのは元警官のブライアン (ポール･ウォーカー)。彼はかつて潜入捜査官だったが、強盗団を逃したことから失職していた。,"アクション,サスペンス／ミステリー"
ワイルド･スピードX3 TOKYO DRIFT,人生をやり直そうとする主人公が、彼のレース熱を理由に日本の犯罪世界と関わってしまう様子を強烈なスタントとアクションで描くカー･アクション･シリーズの第3弾。,"アクション,サスペンス／ミステリー"
トータル･リコール (2012),近未来。地球の表側には富裕層、裏側には労働者層が住み、世界は真っ二つに分断されていた。労働者たちは地球の“コア”を通って通勤し、機械のコマのように働いて搾取されるだけの日々。将来の希望も持てない彼らは、好みの記憶を買って自分の記憶に上書きすることで憂さを晴らしていた。ダグラス･クエイド (コリン･ファレル) もそんな労働者のひとり。美しい妻を持ちながらも、工場で働くだけの毎日にふと嫌気が差し、人工記憶センター“リコール社”を訪れる。,"SF,アクション"
怪盗グルーの月泥棒,「世界で最もおかしな強盗」の名を狙うグルー (声の出演スティーヴ･カレル)。子分たちのミニオン軍団を率いて月を盗み取るという今世紀最大の犯行を企てるが、孤児の三姉妹が登場し、グルーの心が揺れる。,"キッズ,アニメ,ファミリー"
モンスターズ／新種襲来,“地球外生命体”を載せた宇宙探査機が地球に到達して16年、モンスターがうごめく危険地帯はメキシコから全世界に拡大していた。中東ではモンスターへの攻撃のために米軍による空爆が行われたが、巻き込まれた武装勢力と戦闘が激化。モンスターという人類共通の脅威をよそに、人間同士の戦争が果てしなく続いていた。そんな中、新たに派兵された若き米兵たちに、危険地帯の深部で連絡を絶った部隊の救出任務が下る。,"SF,戦争,パニック"
イーオン･フラックス,2015年、ウイルスが発生。人類は絶滅の危機に陥り、99%が死滅。ワクチンでなんとか生きながらえた人類は、開発者トレバーの一族によって成り立つ政府の下、生活してきた。2415年、君主トレバー8世への暗殺指令が下る。圧政を憎む反政府組織“モニカン”が暗殺者として選んだのは美しき女革命戦士イーオン。要塞に乗り込んだ彼女は、ついにトレバーに銃を突きつけるが、イーオンを見たトレバーは彼女を別の名で呼ぶ。混乱するイーオンは、さらに想像を超えた驚愕の事実を知る。,"SF,アクション"
マトリックス,コンピュータプログラマーとしてニューヨークの企業で働くネオ。凄腕ハッカーという別の顔を持つ彼は、起きてもまだ夢を見ているような感覚に悩まされていた。そんなある日、自宅のコンピュータ画面に不思議なメッセージが届く…「起きろ、ネオ」「マトリックスが見ている」「白うさぎの後を追え」…正体不明の美女トリニティーに導かれて、ネオはモーフィアスという男と出会う。そこで見せられた世界の真実とは? やがて、人類の命運をかけた壮絶な戦いが始まる。,"アクション,SF,サスペンス／ミステリー"
ANNIE／アニー,ニューヨーク、マンハッタン。携帯電話会社のCEOでNY市長候補のスタックスは選挙キャンペーン中、車にはねられそうになった少女を偶然助ける。少女の名前はアニー。4歳の頃、レストランに置き去りにされて以来、横暴なハニガンが営む施設で暮らしている。10歳になるアニーは、毎週金曜日の夜、そのレストランの前で迎えにくるはずのない両親を待ち続けていた。スタックスはそんなアニーの境遇を選挙戦に利用しようと考え、彼女を引き取り、超高層ビルのペントハウスで一緒に暮らし始める。アニーも自分が有名になれば両親が名乗り出てくるかも知れないと考え、スタックスの選挙戦を利用し協力するが、次第にふたりの心に絆がめばえていき…。,"ヒューマンドラマ,音楽／ライブ,キッズ"
コンゴ,ある調査隊員が、コンゴでダイヤ鉱山を探している最中に消息を絶った。調査隊を派遣した企業のトップで、消息不明となった隊員の父親でもあるCEOは、顧問のカレン･ロス博士を現地に向かわせる。息子を救出するため…。いや、ダイヤモンドを手に入れるためだ。,"アドベンチャー,SF,アクション"
300〈スリーハンドレッド〉～帝国の進撃～,かつて、100万人の敵に立ち向かった300人のスパルタ兵がいた。死してなお、スパルタ兵の“誇り高き魂”はギリシアの戦士たちに継承される。ギリシアに敵が迫りくる。敵はペルシアの大軍だ。その侵攻をせき止めるには、個々の都市国家が一丸となって国境を死守しなくてはいけない。すでにスパルタのレオニダス王は300人の精鋭を率いて陣を敷いていた。しかし100万という圧倒的な軍製を誇るぺルシアの前に、それは自滅作戦に等しかった…。前作「300」から引き継がれた、壮大なストーリー。,"アクション,アドベンチャー,史劇"
