タイトル,あらすじ,ジャンル
ハングオーバー! 消えた花ムコと史上最悪の二日酔い,結婚式を2日後に控えた新郎ダグは、独身最後の夜を満喫するため、悪友のフィル、スチュ、義理の弟アランとラスベガスへ。高級ホテルのスイートでしこたま酒を浴び、バカ騒ぎする男たち。しかし、翌朝二日酔いから目覚めると、部屋は滅茶苦茶、花ムコの姿は消え、代わりに一頭の虎と赤ん坊が部屋の中に―。昨日の記憶が全くない!! 一体、昨夜彼らに何が起きたのか?,"コメディ,サスペンス／ミステリー"
ゼロ･グラビティ,革命的映像! 極限のサバイバル! 全身を貫く感動! 自宅で体験する、最もリアルな宇宙。宇宙の 暗闇を 生き抜け。極限の宇宙空間で、衝撃と感動の90分! 君は生きて地球へ帰れ。“必ず生還する”と誓うんだ―。,"SF,ヒューマンドラマ,アドベンチャー"
マスク2,世界的に大ヒットした『マスク』続編! アニメ会社に勤めるティムは、妻のトーニャと平穏に暮らしていた。そんなある日、愛犬オーティスが水辺で奇妙なマスクを拾ってくる。それこそが、かぶった者の秘めた欲望を解放&増幅してしまう伝説のマスクだった…! 何も知らないティムは、そのマスクで会社の仮装パーティーへ。緑の怪人となって大騒ぎし、帰宅後はそのままトーニャとベッドイン。そして10ヶ月後に生まれた息子は、マスクの力を持ったスーパーベイビーだった!,"アクション,コメディ"
ナイト ミュージアム,何をやってもうまくいかないバツイチの失業男ラリー。別れた妻の再婚にとまどう彼にとって、離れて暮らす最愛の息子との接点を失うのは堪え難いことだった。息子を失望させないためにも職探しに奔走する彼は、自然史博物館で夜警の仕事に就く。恐竜の骨や動物のはく製、太古の彫刻、ジオラマや人形が並ぶ、そこは夜のとばりが降りると、もう一つの顔を覗かせる。そう、これらが生命を宿らせ、館内狭しと動き出すのだ! とどまるところを知らない混乱に、ラリーは唖然･呆然とするばかり。その上、この博物館ではある怪しい計画が密かに進行していた。ラリーはこの混乱を収め、博物館を守ることができるのか!?,"ファンタジー,コメディ,キッズ"
レゴ® ムービー,ちっちゃな手で、でっかい夢を守り抜け! 世界一カラフルなLEGO (R) ムービーの世界へようこそ! エメットは、どこにでもいるフツーの青年。なのに、なぜか伝説のヒーローに間違われ、レゴ (R) ワールドを支配するおしごと大王から、世界を救わなければならないハメに! でも、本人はヒーローの覚悟なんてゼロ。世界の終わりまであと3日…。どうするエメット、どうなるレゴ (R) ワールド－!? ブロックさえあれば、どんなものでも作り出せる! それがレゴ (R) ワールド。高層ビルが建ち並ぶ大都市、最新型の飛行機や蒸気機関車、山々がそびえ立つ大自然から宇宙まで、どんな夢だって、自分の手で実現可能だ。そんな世界に、大興奮のシークレットキャラが次々と登場、大騒動を繰り広げる。さあ、飛び出そう!,"アニメ,コメディ,キッズ"
プレデターズ,地球から遠く離れた未知の惑星―傭兵のロイスは、どこともわからぬジャングルに向かって落下していた。目を覚ますとそこには、同じように“気がつけば落下していた”という人々が集まり、彼らはそれぞれ異なる戦術を兼ね備えた最強の殺し屋たちだった。その顔ぶれは傭兵、死刑囚、特殊工作員とさまざまだが、なぜ今ここに自分がいるのかを理解出来ない戦闘のエリートたち。しかし実は彼ら自身が、その地球外生命体=プレデターの獲物であり、“一員”だったのだ…。より強い相手と戦うことに生きがいを感じるプレデターの新たな戦闘能力に加え、新アーマーで装甲し、進化した武器を装備した最強のスーパー･プレデターたち。選ばれし人間たちとの過激なサバイバル戦が今幕をあけた。果たして最後に生き残るのは、プレデターか、それとも人類か?,"SF,アクション"
ザ･シンプソンズ MOVIE,アメリカの田舎町、スプリングフィールド。シンプソン一家のダメ親父ホーマーは、息子のバートに「素っ裸でスケボーに乗ってバーガーショップまで行ってこい」とけしかけ、このせいでバートはさんざんな目に。一方、優等生の長女リサは湖の汚染に心を痛め、環境保護運動に熱中。やがてホーマーはバーガーショップで助けたブタをペットとして飼い始め、一風変わった愛情を注ぐようになる。ところが! ホーマーのある行動から、スプリングフィールドは絶対絶命の危機に陥ってしまう! 町の人々の怒りを買ったホーマーは、家族と共にアラスカに逃亡。しかし愛情深い妻のマージも今度ばかりはあきれ果て、ホーマーを残して子供たちと町を救出に向かうことを決意する…。,"アニメ,コメディ"
ロック･オブ･エイジズ,時は80年代、とてつもないサクセスストーリーとスキャンダルがあふれ返る黄金時代のハリウッド。そこに待ち受けているのは輝かしい成功か、それとも華々しい転落か。一度は夢を叶え、人気の絶頂を極めたロックスターも、そんな崖っぷちに立つひとり。夢を見失い落ちぶれかけた彼は、目の前の現実に挫けそうになりながらも諦めない若者たちの姿に、もう一度自分の夢を取り戻そうとするのだが…。トム･クルーズが挑むのは、ロックの神と呼ばれる男、失神者続出の超絶カリスマ･ロックスターだ。目に焼きついて離れないそのビジュアルもさることながら、意外にも最高にロックな生歌が、トム･クルーズ史上もっとも意外性に満ちたこの役を、天井知らずにはじけさせる!,"音楽／ライブ,ヒューマンドラマ"
ティファニーで朝食を,輝く宝石のようなオードリーの魅力をちりばめた、素敵でおしゃれなラブ･ストーリー。彼女と駆け出しの作家ポールとのロマンスは、アカデミー賞 (R) にも輝いたヘンリー･マンシーニの主題歌「ムーン･リバー」のメロディと共にいまも多くの女性の心を捉えて離しません。,"ヒューマンドラマ,恋愛,コメディ"
ダークナイト,ジョーカーが仕掛ける生き残りゲーム。開幕の合図は、警視総監の暗殺だ。正体を明かさなければ市民を殺すとバットマンを脅迫し、デントと検事補レイチェルを次のターゲットに選ぶジョーカー。しかし、それは彼が用意した悪のフルコースの、ほんの始まりに過ぎなかった…。,"アクション,サスペンス／ミステリー,SF"
エイリアン2,2144年。57年間の冷凍睡眠状態から救出されたリプリーは、音信不通となった宇宙植民地･LV426の調査の為、海兵隊員と共に旅立つ。そこでリプリーたちが遭遇したのは、卵を生んで繁殖し続けるエイリアン･クイーンの姿だった…!,"SF,ホラー,アクション"
センター･オブ･ジ･アース2 神秘の島,17歳になったショーンは謎の島から救難信号をキャッチする。その発信源を追跡するため、彼は義理の父親ハンクをつきそい役にして旅に出た。ふたりはガイドのヘリコプター操縦士ガバチョと、彼の娘のカイラニと共に“嵐の目”を通って島にたどり着く。そこは小さいものは大きく、大きいものは小さいという、想像をはるかに超えた生物たちが生息する“神秘の島”だった! しかし、島はやがて水没し始める。果たして彼らは脱出できるのか…!?,"アクション,アドベンチャー,キッズ"
ヘアスプレー,ヘアスプレー企業が提供するTV番組に出演することを夢見る16歳のトレイシー。ダンスもオシャレも申し分ない彼女には、1つだけ問題が…それはBIGすぎるサイズ。ところがひょんなことから、ショーへの出演が決定。ライバル母娘が仕掛けた罠からトラブルに巻き込まれてしまうトレイシー。そんな中、アメリカ中が憧れるイベント、“ミス･ヘアスプレー”を決める大会日がやってきた!,"コメディ,青春,音楽／ライブ"
パニック･フライト,主人公のリサは、飛行機が離陸してまもなく、隣に座った男性ジャクソンの驚愕の正体を知る。彼は、要人暗殺をたくらむ組織の一員だったのだ。そしてその暗殺が成功するかどうかは、リサにかかっていた。,サスペンス／ミステリー
アウトロー,「アウトロー」 でトム･クルーズが扮するのは元米軍の秘密捜査官、ジャック･リーチャー。全米ベストセラー小説“ジャック･リーチャー”シリーズの主人公だ。6発の銃声が発射され、5人が殺害された事件で元米軍スナイパーが逮捕された。証拠が揃えられ自白を強要された彼は黙秘を続け 「ジャック･リーチャーを呼べ」 と紙に書いて要求する。,"アクション,サスペンス／ミステリー,ヒューマンドラマ"
パラノーマル･アクティビティ2,ダニエルとクリスティに赤ちゃんが生まれた直後から、彼らは家で悪霊による恐ろしい体験に苦しむようになる。幸せな一家の生活は逃れようのない悪夢へと変わってしまう。,ホラー
ハングオーバー!! 史上最悪の二日酔い、国境を越える,異国での記念すべき結婚式前々夜。ロサンゼルスからやってきた悪友たちにとって、それは独身最後を祝う最高の夜になるはずだった。しかし翌朝二日酔いから目が覚めると、見知らぬ部屋で、中はメチャクチャ。新郎の顔にはタトゥーが入っており、花嫁の弟は消え、代わりにベストを着たサルがいた。数々の手がかりを頼りに、失われた記憶と、花嫁の弟を取り戻す事ができるのか!?,コメディ
エイリアンVS.プレデター,人工衛星がある日、南極大陸で異常な熱の放射を観測した。解析した結果、南極大陸の氷の下600メートルに巨大な建造物が眠っていることが分かった。実業家ウェイランドは、世界中から考古学者や科学者らを集め、女性冒険家レックスにガイドを頼み、謎の熱源へと向かう。そして彼等が発見したものは、様々な古代文明の特徴が混在するピラミッドだった。だが、世紀の発見に喜ぶのも束の間、彼等は恐ろしい事態に直面することとなる。そこはプレデターがエイリアンと戦い、戦士としての試練を受ける“儀式”の場所だったのだ。探険チームは、エイリアンとプレデターによる想像を絶する殺戮の真っ只中に、誤って足を踏み入れてしまったのだ。死闘が繰り広げられる中、果たしてレックスたち人類に助かる道はあるのか…。,"SF,ホラー,アクション"
エイリアン4,2470年。あの日から200年後、軍の科学者達によってリプリーはクローンとして再生する。しかし、彼らの真の目的はエイリアンの繁殖であり、その軍事利用だった。実験は成功し、エイリアンは見事にその「復活」を遂げてしまう…。,"SF,ホラー,アクション"
ミッション：インポッシブル,往年の人気TVシリーズ「スパイ大作戦」の映画化。東欧で展開されたスパイ組織IMFの作戦は情報漏れのために失敗に終わる。多くの仲間を失ったイーサンは、これがIMF内の裏切者を見つけ出すための作戦だと言うことを知るが、その疑いは自分にかかっていた。真実を暴くために、死んだリーダー、ジム･フェルプスの妻クレアと連絡を取るイーサン。彼は、元CIAのクリーガーと天才ハッカーのルーサーを新たなメンバーに加え、大胆不敵にもCIA本部への潜入を試みる…。,"アクション,サスペンス／ミステリー"
CUB／カブ 戦慄のサマーキャンプ,サム (ライテン) は、「カブスカウト」のチームに所属している少年。彼は、チームに所属するメンバーたちからいじめを受けており、また、引率役の大人、ピーター (アールツ) からも嫌われていた。ある日、彼らは森にキャンプに行くことに。そこは、「カイ」と呼ばれる、人々を襲う悪の子供が住んでいると言われている森だったが、ピーターたちは意にも介していない様子。そんな中、サムは、謎の仮面を被った少年に森の中でばったり出会うが…。,"ホラー,サスペンス／ミステリー"
ルーム,閉じ込められた［部屋］で暮らす、ママ (ブリー･ラーソン) とジャック (ジェイコブ･トレンブレイ)。2人にとってはこの［部屋］が全てだった。5歳の誕生日を迎えたジャックに、ママは本当の［世界］を見せるため、脱出計画を図る。息を殺して望む計画は、果たして成功するのか? そしてその先にある、衝撃の［世界］とは―!?,"サスペンス／ミステリー,ヒューマンドラマ"
ニック･オブ･タイム,ジーン･ワトソンは娘と前妻の葬式からロサンゼルスに戻った途端、娘が誘拐された。彼は銃と写真とその人のスケジュールを手渡され、この人物を1時間15分以内に殺さないと娘を殺すと言い渡される。もう後戻りはできない。,サスペンス／ミステリー
エンド･オブ･ホワイトハウス,"“鉄壁の要塞”ホワイトハウスが、たった13分で占拠され、15分後には敵を守る難攻不落の要塞となった。前代未聞のテロを遂行したアジア人テロリストの要求は二つ。「日本海域からの米国第七艦隊の撤収」、「韓国と北朝鮮の間にある軍事境界線 (非武装中立地帯) から米軍28,500名の撤退」。大統領を人質に取られたうえ、特殊部隊の突入も失敗、ペンタゴン最高司令部は絶望的な苦境に立たされる。","アクション,サスペンス／ミステリー"
ティム･バートンのコープスブライド,19世紀ヨーロッパのとある村。結婚を控えた気弱な若者ビクターが、ふとしたことから死体の花嫁 (コープスブライド) に結婚の誓いを立ててしまい、死者の世界へと連れ去られる。ティム･バートン監督によるストップモーション･アニメーション。盟友ジョニー･デップが主人公の声を担当。,"アニメ,ファンタジー,恋愛"
ディープブルー･ライジング,北極海の海氷に建造された、海洋調査基地“オアシス”。研究に従事する科学者チームは、ある日、突然変異したサメの大群に襲われる。厚い氷も破壊する巨大鮫の猛威により、次々と餌食になってゆくメンバーたち。ついに海氷から分断されたオアシス基地は、水深30メートルの海底に沈んでしまう。,"パニック,アクション"
スター･トレック イントゥ･ダークネス,宇宙艦隊司令官ジョン･ハリソン (カーン) が復讐を誓い、たった一人でスターフリートに戦争を仕掛けた。カークとスポックはエンタープライズ号のクルーたちとともに生死を賭けた闘いへと旅立つ。,"アドベンチャー,SF,アクション"
キャッチ･ミー･イフ･ユー･キャン,オスカー3度受賞のスティーブン･スピルバーグが監督を務めた「キャッチ･ミー･イフ･ユー･キャン」。天才詐欺師のフランク･W･アバグネイルJr.は、パイロットや弁護士、医者などに成りすまし大金を手に入れる。しかもその時、彼はまだ21歳だった!,"コメディ,ヒューマンドラマ"
GODZILLA ゴジラ,世界が終わる、ゴジラが目覚める。1954年の誕生から60年。日本が世界に誇る「ゴジラ」が、ハリウッドの超一流スタッフ･キャストによって現代によみがえる。1999年、芹沢博士はフィリピンの鉱山で巨大生物の化石と、繭のような物体を発見する。だが物体の一つは既に抜け出し、海へ向かった痕跡が残っていた。同年、日本の発電所に勤めるジョーは、謎の地震による事故で妻を失ってしまう。そして現在。未だ事故の真相を追う父のために来日した息子･フォードは、怪獣に遭遇する。,"SF,パニック,アクション"
ハングオーバー!!! 最後の反省会,“史上最悪の二日酔い”ついにフィナーレ もう しません。バンコクの刑務所にブチこまれていたチャウが、まんまと脱獄する。一方、アランのあまりの極道息子ぶりにキレた親父さんがショックで倒れ、そのまま天国に…。さすがに周囲も「もう面倒みきれんわ!」と呆れ、フィル、ステュ、ダグがアランを施設に収容しようと車を走らせる。ところが、道中突然ギャングに襲われ、ダグが拉致られたあげく、「返して欲しけりゃ、金を盗みやがったチャウを探してこい!」と命令が! って、なんで俺たちがっ!? なぜならアランはチャウのメル友だからだ! かくしてアランとチャウの因縁をめぐり、踏んだり蹴ったりの“史上最強の反省会”を迎え、壮大なトリロジーは幕を閉じる!,コメディ
マイティ･ハート／愛と絆,ウォール･ストリート･ジャーナルの記者ダニエル･パールの生死をめぐる壮絶な事件を、妻マリエンヌの手記を基に映画化した作品。,"ヒューマンドラマ,サスペンス／ミステリー"
パニック･マーケット,2012年ヴェネチア国際映画祭が悲鳴の渦に! 世界中で興行収入1位を記録したパニック･アクション。ある日突然、巨大津波がオーストラリアの海岸沿いの町を飲み込み、主人公ジョシュが働くスーパーマーケットに、大量の海水とともに巨大ホオジロザメが何頭も迷い込んでしまう。海水に満たされた店内を自由に回遊するホオジロザメを前に、陳列棚の上で行き場を失う13人の生存者たち。しかもその中には、偶然居合わせた強盗犯や殺人鬼まで潜んでいて…。,"パニック,ホラー"
M:I-2,殺人ウィルス“キメラ”の行方を追え―IMFのイーサン･ハントの活躍を描く、トム･クルーズ製作･主演のシリーズ第2弾! バイオレンスの詩人ジョン･ウー監督の演出が、壮絶なアクションと華麗なロマンスを融合させ、2000年No.1の大ヒットを記録。,アクション
ディープ･インパクト,高校の天文部員が発見したのは、地球と衝突する軌道を進む巨大彗星だった。世界の終末に向けカウントダウンが始まる。そして人類の存亡をかけた戦いが始まった。,"SF,パニック,ヒューマンドラマ"
猿の惑星：創世記 (ジェネシス),現代のサンフランシスコ。製薬会社ジェネシス社の研究所に勤める若き神経科学者、ウィルが実験のためアルツハイマー病の新薬を投与した一匹のチンパンジーが驚くべき知能を示した。ところが、そのチンパンジーは突如暴れ出した挙句、射殺されプロジェクトは中止されてしまう。ウィルは生まれたばかりの赤ん坊を自宅に連れ帰り、“シーザー”と名付けて育てることに。3年後、すくすくと育ったシーザーとウィルとの間には本物の人間の親子のような強い絆が生まれており、同時に特殊な遺伝子を受け継いだシーザーは、類まれな知性を発揮し始めていく。しかし、ある事件がきっかけで、シーザーは人間の愚かさに失望してしまうのだった。そして、失望は地球上の生物の進化の概念を覆す「壮大な闘い」の序章へとつながっていく…。,"SF,アクション"
キューティ･ブロンド,全米初登場第1位の大ヒット･コメディ! 美容とファッションにかけては超イケてる、ベルエア育ちの天然ブロンド娘エルは政治家志望のボーイフレンド･ワーナーから「ブロンドすぎて議員の妻向きじゃない」と振られてしまった。しかし持ち前のポジティブ思考を発揮し猛勉強、彼を追いかけて名門ハーバード大の法学部に見事合格。知的な女性に変身し、彼のハートを取り戻す作戦だ。けれど、質実剛健を旨とする東海岸の人々の考え方や習慣はエルとことごとく対立、第一日目から意地悪な教授やクラスメートからいびられて大ピンチ!,コメディ
トランスフォーマー／ ロストエイジ,マイケル･ベイ監督による「トランスフォーマー」の最高傑作が登場! 新たな脅威に見舞われた人類は絶滅の危機を迎えようとしていた。地球を救えるのはオートボットだけだが、彼らも新たな味方を必要としていた。それが発明家ケイド･イェーガー (マーク･ウォールバーグ) とダイノボットたちだ!,"SF,アクション"
ハッピーニート ～おちこぼれ兄弟の小さな奇跡,30歳のジェフは実家暮らしのニート。映画『サイン』に影響を受け、人生のカギになる出来事を見つけることで頭がいっぱい。兄のパットは妻のリンダに内緒で買ったポルシェでケンカ中。二人の母シャロンはそんなダメ息子達に頭を悩ませている。ある日ジェフとパットが見知らぬ男と一緒のリンダを目撃してしまう。兄弟は浮気調査を決行。一方シャロンにはラブレターが届き…。,"コメディ,ヒューマンドラマ"
ラブ･アフェア 年下の彼,音楽家の夫のコンサート出演のため、夫婦でイタリア･イスキア島を訪れたジェーン (ボスワース)。滞在中、祖母 (ブルーム) の回顧録の執筆をしながら時間をやり過ごす計画だったが、美しいイタリアの街並みで声を掛けた19歳の青年･ケイレブ (ブラックリー) とのある日の出会いをきっかけに、ジェーンは、流産による不妊という悲劇を抱えた夫との結婚生活から脱出するべく、禁断の情事に手を染めていく。,恋愛
アナスタシア,宮殿で幸せな日々を送っていた少女アナスタシア。しかし邪悪な魔法使いラスプーチンが皇帝一家にかけた呪いによりロシア革命が勃発。混乱の中アナスタシアはひとり残されてしまう…。華麗なパリの社交界を舞台に、繊細で色鮮やかなアニメーションで贈る本格的ミュージカル･ファンタジー!,"アニメ,キッズ,ファンタジー"
7500,ロサンゼルス発東京行き、ビスタパシフィック航空7500便を予想外の乱気流が襲い、客室内は激しく揺さぶられ、乗客たちは負傷し不安に襲われる。乱気流がおさまったと同時に、今度は木箱の営業マンが謎の死を遂げる…。高度1万フィートの上空で恐怖にとり憑かれた7500便は、果たして飛行を続けることができるのか!,"サスペンス／ミステリー,パニック,ホラー"
とらわれて夏,「マイレージ、マイライフ」のジェイソン･ライトマン監督が描く感動の5日間。悲しみにとらわれた者たちが、愛と希望を取り戻した運命の夏。,"ヒューマンドラマ,恋愛"
パラノーマル･アクティビティ／呪いの印,18歳の誕生日を迎えたジェシーの左腕に、突然浮かび上がった歯型のような跡。それ以来、目から異様に長い髪の毛が出るなど、次々に彼の身や周囲で怪現象が起こり、恐怖は想像を絶するようにエスカレートしていく。浮かび上がった謎の印、それはまさに“呪われた印”だった…。,ホラー
孤高のスナイパー,北極からデンマークに帰ってきた、熱心な地球物理学者のラスムス (ボドゥニア)。金にしか目の無い政府関係者を納得させる唯一の有効な方法は暴力と脅迫であると考えている彼は、銃で武装しジャーナリストを人質にするだけでなく、コペンハーゲン全体をテロに陥れる。彼の要求はひとつ、採掘計画を中止する事。それがなされなれば人々を殺し始めると宣言するが…。,"アクション,サスペンス／ミステリー"
スピード2,前の恋に終止符を打ち、新しい恋人アレックスと豪華客船でのクルージングへ旅立ったアニー。ロマンティックなムードを満喫していたのも束の間、船には無数の爆弾が仕掛けられ、シージャック事件が発生した!,"アクション,パニック"
ゴッドファーザー,アメリカで絶大な権力を握るコルレオーネ･ファミリーが崩壊の危機に立たされる様を描いた作品。このシチリア島出身ファミリーが手を染める犯罪ビジネスについても描かれている。,"アクション,ヒューマンドラマ"
トランスフォーマー,中東のカタール米軍基地を謎の巨大ロボットが襲撃。冴えない高校生サムは中古のカマロを手に入れる。しかし、そのカマロは宇宙の彼方からやって来た“トランスフォーマー”の一員で、メガトロンを追って地球を訪れたことを知り…。,"SF,アクション"
それでも恋するバルセロナ,ヴィッキーとクリスティーナは親友同士。ヴィッキーは慎重派で、堅実な彼と婚約中。一方のクリスティーナは恋愛体質な情熱家。2人はアメリカを離れ、ひと夏をバルセロナで過ごすことに。ある日、2人はセクシーな画家と出会う。スカーレット･ヨハンソン、ペネロペ･クルス、ハビエル･バルデムら豪華キャストで贈る、ウッディ･アレン監督の恋の傑作。,"恋愛,コメディ,ヒューマンドラマ"
ガリバー旅行記,時は現代—。都会の新聞社で、しがない郵便係をするガリバーは、失敗を恐れるあまりすぐに諦めてしまうさえない男だった。ある日、ハッタリで手にした仕事で、取材へ出掛けるが、船が遭難し、小人の国へ迷い込んでしまう。そこでは“大きな体”のガリバーは人生で初めて頼りにされ、つい自分は大統領だと嘘をついてしまう。国中の人気者になったガリバーだが、あることがきっかけで信頼を失うことに。果たしてガリバーは体の大きさだけでなく、本当のヒーローになれるのか!?,"アドベンチャー,コメディ,キッズ"
ブルー 初めての空へ,ブラジル生まれの飛べない読書家インコ“ブルー”は、飼い主リンダと一緒にミネソタ州の小さな田舎町の本屋で仲良く暮らしていた。ある日、鳥類学者チュリオが二人のもとを訪れ、ブルーが絶滅種のインコであることを告げる。そして、仲間たちを救うためにリオデジャネイロへ行くことを提案した。リンダは悩んだ結果、ブルーを連れてリオへ行くことを決意する。リオでブルーは同じ種のジュエルに出会い、一瞬で恋に落ちる。しかし、その夜、ブルーとジュエルは何者かに捕らわれてしまうのだった…。果たして、無事に逃げることが出来るのか!? リオを舞台に、飛べないブルーとジュエル、そして仲間たちの大冒険が始まる。,"アニメ,アドベンチャー,キッズ"
インセプション,ドム･コブは、人が夢に入っている時に潜在意識の奥底まで潜り込み、他人のアイデアを盗み出すという、危険極まりない犯罪分野において最高の技術を持つスペシャリストである。コブが備えもつ類稀な才能は、裏切りに満ちた企業スパイの世界において引っ張りだこの存在となっていた。だがその才能ゆえ、彼は最愛のものを失い、国際指名手配犯となってしまう…。,"アクション,SF,サスペンス／ミステリー"
トランスフォーマー／ダークサイド･ムーン,1969年7月20日、アポロ11号が月面着陸に成功したその陰で、米国政府は月の裏側に不時着した謎の物体の調査を開始する。それは惑星サイバトロンから脱出したアークと呼ばれる宇宙船で、中にはオートボットの偉大なる元司令官センチネルプライムが眠っていた…。時は流れ、現代。社会人となったサムに再び悪夢が襲いかかる。次々と宇宙からやってくる新たな侵略者の圧倒的な破壊力に、人類はなす術もなく追い詰められていく…。,"SF,アクション"
パラノーマル･アクティビティ3,1988年、ケイティとクリスティ姉妹は彼女たちの家に住む、目に見えないモノと仲良くなる。,ホラー
エージェント･マロリー,並外れた戦闘能力と知性を兼ね備えた女性スパイのマロリー (ジーナ･カラーノ) は、民間軍事企業の経営者で、元恋人ケネス (ユアン･マクレガー) からバルセロナにおける人質救出作戦の依頼を受ける。バルセロナでの作戦で手を組んだパートナー (チャニング･テイタム) と共に依頼を遂行し、その評判を耳にしたMI6の依頼で、今度は新パートナーのポール (マイケル･ファスベンダー) と組み謎の男を追跡するという仕事が舞い込んでくる。しかし、ダブリンへ旅立ったマロリーを非情な罠が待ち受けていた…。,"アクション,サスペンス／ミステリー"
パラノーマル･アクティビティ4,第4の映像、ここにて解禁! ケイティが甥っ子ハンターと姿を消したときは生存者はいなかった。5年が経ったいま、次のターゲットを狙いにやってきた…。,ホラー
トランスフォーマー／リベンジ,地球侵略を開始したディセプティコンだったが、オプティマス･プライム率いるオートボットがその野望を阻止。世界中を舞台にした正義と悪の戦いに、少年サムとその恋人ミカエラは再び巻き込まれてゆく。,"SF,アクション"
プレデター,捕虜となった政府要人を救出するため、南米のジャングルに派遣されたダッチ率いるコマンドー部隊。捕虜奪還に向かった彼らに突如何者かが襲いかかる。その手口は残虐非道で、胴体は消え、血痕もなく、内臓だけが残された。ダッチが見た敵の正体―それはカメレオンのように身体の色を変える、宇宙から来た凶悪なプレデターだった!,"SF,アクション"
プラトーン,1986年度アカデミー賞作品賞はじめ、堂々4部門受賞! 巨匠オリバー･ストーンが驚異のリアリティで描き切る、ベトナム戦争の真実─1967年、激戦のベトナムに若い志願兵クリスがやってきた。少数民族や貧しい者たちからの徴兵に憤った彼は名門大学を中退してベトナム行きを志願したのだ。だが、いきなり最前線小隊『プラトーン』に配属された彼を待ちうけていたのは、想像を遥かに超えた過酷な戦争の現実だった。死の恐怖が渦巻く最前線の中、彼はやがてベトナム人への虐殺･略奪･強姦など、戦争の狂気とその現実を体験していく─。,"ヒューマンドラマ,戦争,アクション"
リトル･ミス･サンシャイン,田舎町アリゾナに住む少女オリーブ。なんともブサイクでおデブちゃんな彼女が、全米美少女コンテストでひょんなことから地区代表に選ばれた。オリーブ一家は黄色のオンボロ車に乗り、決戦の地カリフォルニアを目指すことに。人生の勝ち組になることだけに没頭する父親、ニーチェに倣って信念で沈黙を貫く兄、ゲイで自殺未遂の叔父、ヘロイン吸引が原因で老人ホームを追い出された不良ジジイ、そしてバラバラ家族をまとめようと奮闘する母親。そんな落ちこぼれ家族の、奇妙でハートフルな旅が始まった…!,"コメディ,ヒューマンドラマ"
ジョージアの日記 ゆーうつでキラキラな毎日,ジョージアは転校生のロビーに一目惚れ。だけどロビーは、ジョージアの最大のライバル、リンジーと付き合いだした。ジョージアは、両親と猫のアンガスと女友達の力を借りながら、ボーイフレンドをゲットしようと画策するのだった。,"コメディ,青春,恋愛"
ランゴ,怖いもの知らずのヒーローにあこがれるカメレオンは、気づくと西部の町にいた。無法者が荒らし回るこの町で、彼は町を守るヒーローの役割を本当に演じるハメになる。,"アニメ,キッズ,アドベンチャー"
ダーク･シャドウ,時は1972年。200年の眠りから目を覚まし、ヴァンパイアとして子孫の前に現れたバーナバス･コリンズ。かつては繁栄を誇った名家にもかかわらず、今は見る影もなく没落してしまった末裔と出会い、バーナバスは一家の復興を心に誓う。しかし、200年のあいだに世の中はすっかり様変わり。バーナバスは何をやってもズレまくり、何を言ってもスレ違う。そのおかしな言動のせいでコリンズ家に巻き起こる珍騒動。果たして家族思いのヴァンパイアは、魔女の手から家族を守り、没落した一家の繁栄を取り戻せるのか?,"ファンタジー,ヒューマンドラマ,コメディ"
クライシス･オブ･アメリカ,ひとりの将校が華やかな政界の裏で渦巻く国家的陰謀に立ち向かう社会派サスペンス。洗脳された人物をホワイトハウスに送り込み世界の支配を目論む巨大企業と、その企みに気づき真相の究明に乗り出す男のスリリングな攻防を描く。,"サスペンス／ミステリー,ヒューマンドラマ,SF"
悪魔祓い、聖なる儀式,人間VS悪魔―。“エクソシスト”は現代に存在した!! ヴァチカン騒然! 1200年も続く秘儀“悪魔祓い”。外部に閉ざされてきた神秘の現場、世界初公開! カタルド神父はシチリア島の有名なエクソシスト。科学や医療では解明できない問題や病を抱えた人たちが教会に殺到。人々はそれが悪魔の仕業だと信じている。カメラは悪魔を祓う儀式や神父の日常だけでなく、悩みを抱えた人々の日常も写しとる。,ドキュメンタリー
ロボッツ,「アイス･エイジ」のスタッフが贈る“夢いっぱい”の最新フルCGアニメーション! 小さな町の貧しい皿洗い機ロボット夫妻の元に生まれたロドニーは、夢を抱いて大都会ロボット･シティへ向かう。明るく一生懸命に生きる中古部品で作られたロボットたちとの出会い。だが、大企業の経営者ラチェットが、すべての中古ロボットをスクラップにするという恐ろしい計画を進めていた。これを阻止しようと、巨大都市でロドニーと仲間たちの冒険が繰り広げられる。果たして、ロドニーはラチェットの陰謀を阻止し、仲間を救うことができるのか?,"アニメ,SF,キッズ"
オーメン,6月6日6時。妻が死産した駐英大使は、同じ日に生まれた孤児を引き取りダミアンと名付け育てる。ダミアンの周辺では不吉な殺人事件が多発、事件を追う大使はエクソシストであるブーゲンハーゲンから、ダミアンこそが地上に復活した悪魔の子であることを知らされる…。,"ホラー,サスペンス／ミステリー"
