タイトル,あらすじ,ジャンル
君に届け,黒沼爽子は、見た目が暗く何もしていないのに周りから怖がられ、「貞子」というあだ名まで付けられている。しかしその見た目とは裏腹に、とても健気で善意のかたまりのような女の子で、座右の銘は「一日一善」。ただし、周りのことを第一に考えすぎるため、自分のことをうまく伝えられず、クラスからは浮いた存在だった。そんな爽子のクラスメート･風早翔太は爽子とは正反対で、明るく誰に対しても分け隔てなく接する男の子で多くの人から好かれている。爽子に対してもみんなと同じように明るくフレンドリーに接してくれるため、爽子は憧れと尊敬の念を抱く。一方、風早はいつも人知れずクラスのために働く姿や、実はとっても前向きな爽子に特別な感情を抱いていたのだが、爽子の尊敬の眼差しにしばらくは恋愛感情をおいて温かく見守ることを誓う。,"青春,恋愛"
チェリーボーイズ,とある地方都市に住むボンクラ3人組―東京での音楽活動がうまくいかない見栄っ張りな“クンニ”こと国森信一、乳首にコンプレックスを持つイケメン“ビーチク”こと吉村達也、典型的なオタク気質の“カウパー”こと高杉誠。揃いも揃って25歳になっても童貞をこじらせている彼らが集まって考えること、話すことは、上手く行かない世の中への愚痴と女性とSEXのことのみ。そんな負け組認定の男たちが地元で下世話な噂が絶えない釈笛子をターゲットにして、自分と人生を変えるためにとんでもない計画を立てた!? いざ、脱童貞大作戦へ!,"コメディ,青春"
日本統一,本宮泰風、山口祥行、小沢仁志ら出演の任侠シリーズ。腕っぷしの強い不良が極道社会へと足を踏み入れ、天下統一をめぐる熾烈な争いに身を投じていく。,"アクション,ヒューマンドラマ"
映画 それいけ! アンパンマン 夢猫の国のニャニイ,百年に一度、ドリーム彗星がアンパンマンワールドに近づくある日、メロンパンナちゃんは不思議な卵の夢をみます。朝、目が覚めるとあの卵が本当にあるではありませんか。中から飛び出したのは子猫のニャニイ。その日からメロンパンナちゃんはニャニイを一生懸命育てます。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン 妖精リンリンのひみつ,アンパンマンの強さのひみつは、顔を焼くときに入れる勇気の花のジュース。それを知ったばいきんまんは、たったひとりで勇気の花を守っている妖精リンリンをだまし、リンリンが街に行っているあいだに勇気の花の台地をめちゃめちゃにしてしまいます。,"キッズ,アニメ,ファミリー"
DESTINY 鎌倉ものがたり,鎌倉に暮らすミステリー作家･一色正和のもとに嫁いだ年若い妻･亜紀子はその生活に驚くばかり。道を歩けば、魔物や幽霊、妖怪や仏様、死神までも現れるのだ。どうやらここ鎌倉は、人と人ならざるものたちが仲良く暮らす街らしい。亜紀子の理想とはちょっと違うけれど、楽しい新婚生活が始まった。しかし、正和には亜紀子に隠していた秘密があった。その秘密が原因で正和は結婚に疑問を感じて生きてきたようだ。正和はなぜ亜紀子を見初めたのだろうか? ある日、病に倒れた正和が目を覚ますと、亜紀子の姿が消えていた。なんと亜紀子は不慮の事故で亡くなっており、黄泉の国 (あの世) に旅立っていたのだった。失って初めて気づく妻･亜紀子への愛。正和は亜紀子の命を取り戻すため、一人黄泉の国へ向かう決意をする…。,"ファンタジー,ファミリー,コメディ"
映画 それいけ! アンパンマン シャボン玉のプルン,シャボン玉姫と一緒に町のシャボン玉ショーに出ているプルンの悩みは、ほかのシャボン玉ガールズのような大きなシャボン玉をつくれないこと。くやしさのあまりステージをさぼってしまいます。そんなある日、クリームパンダと一緒に森の谷底に落っこちてしまったプルンは、たくさんあぶない目にあったあと、アンパンマンに助けられてシャボン玉城へ帰ります。ところがお城は、ばいきんまんが発明した気味の悪いシャボン玉に支配されていました。みんなを助けられるのは、ちっちゃくても不思議なパワーをもつプルンのシャボン玉しかありません。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン いのちの星のドーリィ,ある日、パトロール中のアンパンマンは海に漂う箱の中から人形を助け出します。その夜、いのちの星からアンパンマンと同じように命をもらった人形ドーリィは、すっかり大喜び。生きていることすべてが楽しくてたまらないドーリィは、勝手気ままな行動で周りのみんなを困らせてしまいます。そんなとき、ばいきんまんの企みで、アンパンマンがかびだらけになって、その体からいのちの星が消えてしまいます…。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン ハピーの大冒険,緑あふれるドデカツリーに住む葉っぱのハピーは、ちいさな体に負けん気だけは人一倍の男の子。アンパンマンのように強くなりたくて、アンパンマンに弟子入りしたのですが、毎日、地味な人助けばかりですっかりやる気をなくしてしまいます。そんなとき何でも食い荒らす毛虫のグリンガを連れたばいきんまんが現れ、ハピーを力で相手をねじふせる悪の道へと誘います。やがて、葉っぱを食い荒らされ、ハピーの村は絶滅の危機に。必死にたたかうアンパンマン。そのときハピーが見た、アンパンマンの本当の勇気とは!?,"キッズ,アニメ,ファミリー"
任侠野郎,かつて誰からも恐れられ、関東一円にその名を轟かせた元小里組の若頭、柴田源治 (蛭子能収)。敬愛する親分の仇をとるために正岡組長を斬殺し、刑務所に入った後、街に戻ってきた彼は、ある思いを胸に、今はクレープ屋を営んでいた。しかし、小里組長夫人の葬儀を機に、昔の仲間である三鷹 (中尾明慶) らと再会した源治は、衝撃の事実を知る。実は親分を殺害したのは正岡組長ではなく、小里組の傘下にあった榊組の組長･榊 (佐藤二朗) だというのだ。そして今、榊組は正岡組の事業を乗っ取ろうとしていた。組長を亡くした正岡組では、一人娘の時子 (トリンドル玲奈) が婚約者の三田村 (柳楽優弥) と共に、組の看板を必死に守っていた。一方、時子の父親の命を奪ったことに激しく懺悔の念を抱く源治も、正岡組と榊組の争いに次第に巻き込まれていく―。,アクション
