タイトル,あらすじ,ジャンル
映画 それいけ! アンパンマン すくえ! ココリンと奇跡の星,とおい宇宙のヘンテ星から星の危機をすくう為、アンパンマンワールドへ助けを求めに来たココリン。今まで食事といえばカプセルだけで、“食べる喜び”を知らなかったココリンはジャムおじさんの作ったパンを食べて、そのおいしさにびっくり! 『パン作りをならい、ヘンテ星の危機をすくえば人気者になれる!」そう思って張り切るココリンですが、みんなのいう『まごころ こめて…』という意味がわかりません。なげだしそうになったココリンのところへ悪だくみを考えたばいきんまんたちが現れて…。,"キッズ,アニメ,ファミリー"
曇天に笑う〈外伝〉～桜華、天望の架橋～,長男、天火が大津を離れ、空丸と宙太郎が家名を継ぐ重さを実感し始めた頃。鍛錬に励む空丸と武田を、尋常ならざる何者かが襲撃する。男の力と身のこなし、そして笑い方は、天火とどこかで似ていた。しかも、その体には大蛇の鱗が…。男の手がかりを追うなかで、思わぬ秘密を知る空丸たち。そんな彼らの前に、蒼世と鷹峯が立ちはだかる。政府への膨らむ疑念。去来する過去。互いの譲れない思いがぶつかり合う。そして空丸は知る。あの男もまた、かつての自分と同じだということに。,"アニメ,アクション,ファンタジー"
秘密 THE TOP SECRET,死んだ人の脳をスキャンして、記憶を映像化し、難事件の謎に挑む特別捜査機関「第九」。室長の薪、新人捜査官の青木らに、死刑囚･露口の脳を見て、行方不明の長女･絹子を探し出すというミッションが与えられた。だが、モニターに映し出された記憶の映像に捜査官たちは息をのむ。そこには刃物を振り上げる絹子の姿が映っていた。「第九」は刑事･眞鍋とともに捜査を続けるが、事態は急転、絹子が発見される。さらに絹子は、父親の犯行のショックから記憶喪失になっているというのだ。一方、眞鍋は、絹子と関係のあった男を突き止めるが、男は眞鍋の目の前で自殺。やがて同時刻に、全国で9人が自殺したことが判明する。謎を追ううちに、かつて日本を震撼させた凶悪犯･貝沼の存在が浮上する。,"サスペンス／ミステリー,SF"
HiGH&LOW THE MOVIE2 / END OF SKY,仲間との固い友情で結ばれた男たちの物語は、SWORD地区の空と未来をかけて、最大の決戦へ。SWORD地区―。「山王連合会」「White Rascals」「鬼邪高校」「RUDE BOYS」「達磨一家」という5つのチームが拮抗するエリアは、それぞれの頭文字をとってそう呼ばれていた。バラバラだったSWORDのメンバーたちは、伝説のチーム「ムゲン」のリーダー･琥珀 (AKIRA) 率いる湾岸連合軍との“コンテナ街の戦い”に辛くも勝利。街は束の間の平和を取り戻していた。,"アクション,ヒューマンドラマ,青春"
HiGH&LOW THE MOVIE3 / FINAL MISSION,チームを超えて力を合わせ、悪名高きスカウト集団･DOUBTと監獄からの刺客･プリズンギャングとの“黒白堂駅の闘い”に勝利したSWORD (山王連合会、White Rascals、鬼邪高校、RUDE BOYS、達磨一家) メンバーたち。だが、勝者が決まったかに見えたその場に、九龍グループの善信会を率いる善信吉龍 (岸谷五朗) が乗り込んでくる。,"アクション,ヒューマンドラマ,青春"
映画 それいけ! アンパンマン かがやけ! クルンといのちの星,年に一度、「いのちの星」に感謝するために開かれる「星祭り」。アンパンマンワールドでは、お祭りの準備にみんな大忙し! そんなある日、ばいきんまんのゴミ箱から飛び出してきた、クルン。クルンは、自分がどこからやってきたのかわからない、ちょっと不思議な子で…?,"キッズ,アニメ,ファミリー"
愛の渦,閑静な住宅街にあるマンションの一室。バスタオル1枚で気まずそうに思い思いの場所に座っている男女8人。終始俯いている暗いニートの男、茶髪のフリーター、真面目そうなサラリーマン、工場勤務の太った男、メガネの女子大生、気の強そうな保育士、可愛らしい今どきのOL、大量のピアスを付け、痩せすぎの女。社会では友達関係にはなり得ない、バラバラな風貌だ。ここは「セックスがしたくてたまらない人たちが集まる」店。行為に及ぶまで、ぎこちないやり取りがあるが、一度してしまえば、欲望は気持ちいいほど剥き出しになっていく。しかし同時に、「やりたい相手」と「やりたくない相手」、それにともなう駆け引きや嫉妬など、それぞれの本音も露わになっていく。そんな中、ニートは女子大生に特別な感情を持ち始める。,"ヒューマンドラマ,恋愛"
映画 それいけ! アンパンマン だだんだんとふたごの星,流れ星をふらすことが大好きで、おてんばなキララと心やさしく星を見守るキラリはふたごの星の妖精。ある日ケンカした二人は、はずみで地上に落下してしまいます。キララは湖のほとりに落ちたところをアンパンマンに助けられます。その頃ヒヤリ城では、ドクター･ヒヤリがロボットのだだんだんに心を与えてもっと強くする実験をしていました…。,"キッズ,アニメ,ファミリー"
ママレード･ボーイ,ある日突然、両親から離婚することを告げられた高校生･光希。旅先で出会った松浦夫妻と気が合い、母親がその夫と、父親がその妻と恋に落ちた為お互いパートナーを交換して再婚すると言い出して―。更には松浦夫妻の1人息子で光希と同い年の遊も含めてみんなで一緒に暮らすことに!? 思いがけない出来事が起こる日々のなかで、光希は次第に遊に惹かれていく。でも、ある日、遊は光希と自分の2人の秘密を知ってしまう。二人の恋の行方は…?,"恋愛,青春"
HiGH&LOW THE MOVIE,「SWORD」地区に伝説の男が戻ってくるところから物語は始まる。チーム「ムゲン」の総長･琥珀 (AKIRA) である。SWORD地区の支配を目論む李 (V.I) と手を組んだ琥珀は、湾岸地区のチーム「MIGHTY WARRIORS」、TOWN地区の「DOUBT」を引き連れ急襲、日常は脆くも崩れ去る。かつて自らが慕った琥珀、そして琥珀率いる総勢500人の大群を前に、山王連合会のコブラ (岩田剛典)、ヤマト (鈴木伸之) は立ち上がる。そこに琥珀と並び最強と称された雅貴 (TAKAHIRO)、広斗 (登坂広臣) ら雨宮兄弟も参戦、過去から未来へ、今SWORD地区は未曾有の事態へと突入する―。,"アクション,ヒューマンドラマ,青春"
