タイトル,あらすじ,ジャンル
彼女がその名を知らない鳥たち,十和子は年上の男と暮らしながら、妻子ある別の男と不倫関係に。ある日、十和子は忘れられない元恋人が行方不明だと知り、暗い過去が彼女に影を落とし始める。,ミステリー
斉木楠雄のΨ難,生まれつき強力な超能力を持つ高校生、斉木楠雄の願いは、普通に生きること。だが、濃すぎるクラスメイト達のせいで災難に襲われ続け、能力を隠すのにも一苦労!,漫画が原作の国内映画
虐殺器官,核爆弾を使ったテロ以降、世界各地で頻発する内戦や大量虐殺。その背後には、ある言語学者の存在が。クラヴィス・シェパード大尉は、軍の指令で彼の行方を追う。,アニメ
牝猫たち,池袋の風俗店で働く、3人の女達。雅子は金のために、結依は退屈しのぎ、そして里枝は愛を求めて。それぞれの理由で体を売る女達に、その代償が重くのしかかる。,官能的なヒューマンドラマ
ナラタージュ,高校時代、泉が心から愛した演劇部の顧問教師・葉山。卒業後に再会を果たした2人は、これまでずっと胸に秘めていたお互いへの想いを再び募らせていく...。,本が原作のヒューマンドラマ
新宿スワン II,スカウト会社のエース格、白鳥龍彦は、会社の命令で横浜へと進出。そこは、ある男が絶対的に支配する難攻不落の王国だった。陰謀が渦を巻く、大抗争が勃発する!,国内アクション・アドベンチャー
劇場版FAIRY TAIL -DRAGON CRY-,魔導士ギルド、フェアリーテイルのナツ達は、世界を滅ぼす力を持つ魔法のつえ、ドラゴンクライの奪還任務へ。壮絶な戦いの中、ナツの秘めた本能が目を覚ます。,国内アクション・アドベンチャー
火花,神谷の芸人としての独特な世界観にひかれ、弟子入りした徳永。そんな2人が酒と熱い議論を交わし、夢を追い、厳しい現実にもまれながら全力で生きた10年物語。,本が原作のヒューマンドラマ
こどもつかい,郊外で起こった連続不審死事件を追う若い記者が、すべての事件は、虐待されていた子供たちが失踪した3日後に起こっていることに気づく。,ホラー
破門 ふたりのヤクビョーガミ,映画製作出資金を持ち逃げされたぐーたら男とイケイケやくざの2人組が、失踪した映画プロデューサーを追ってハチャメチャな追走劇を繰り広げる。,国内アクション・アドベンチャー
ハングマンズ・ノット,コミュ障大学生・柴田と、暴力衝動を発散し続ける最凶ヤンキー・影山兄弟。出会ってはいけない2組が京都で出会ってしまった時、情け容赦ない殺し合いが始まる。,サスペンス
南瓜とマヨネーズ,ミュージシャンになる夢を追う恋人との生活を支えるため、内緒でキャバクラで働くツチダ。それがばれて関係がギクシャクする中、ツチダは元カレと再会し...。,ラブロマンス
BRAVE STORM ブレイブストーム,宇宙人に侵略された地球。人類の希望は、侵略を阻止するために未来からタイムスリップしてきた兄妹弟と、現代のロボット工学者に託された。,国内アクション・アドベンチャー
