タイトル,あらすじ,ジャンル
淵に立つ,郊外で小さな金属加工工場を営む夫が、家族に相談もなく、前科者の旧友を雇い入れ自宅に住まわせる。戸惑いながらも、奇妙な共同生活を始める一家だったが…。,ヒューマンドラマ
恋妻家宮本,子供が独り立ちし、初めて夫婦2人きりで生活する陽平と美代子。ぎこちない日々を送る中、衝撃的な発見をした陽平は熟年離婚の危機を察して取り乱してしまう。,ラブコメディ
闇金ドッグス3,元ヤクザの安藤忠臣が経営する闇金会社で働くイケメンの元ホスト・須藤司。女性専用の金融システムを作り、男の武器を活かして順調に実績を上げていくが...。,ヒューマンドラマ
アズミ・ハルコは行方不明,典型的な郊外の町で突然1人のOLが失踪。町中に捜索願のポスターをモチーフにした落書きが拡散していく中、男だけを無差別に暴行する女子高生集団が出現する。,ヒューマンドラマ
CUTIE HONEY －TEARS－,AIに支配された近未来。ある日、富める上層階から貧しい下層階に落下した如月瞳。彼女は、如月博士の亡き娘の記憶が移植されたアンドロイドだった。,国内SF・ファンタジー
ローカル路線バス乗り継ぎの旅 The Movie,個性豊かな旅人トリオがやって来たのは、魅惑の国、台湾。おなじみの3箇条に従いながら、目指すは台湾最南端。だが同じ頃、大型台風も台湾に近づいていて…。,国内バラエティ・お笑い
CONFLICT 〜最大の抗争〜 第一章 勃発編,日本最大のヤクザ組織・天道会の幹部が惨殺された。天道会の若頭・鷲尾一馬は、背後にある大きな陰謀の影を確信。今、史上最大の抗争が幕を開けようとしていた。,国内アクション・アドベンチャー
シマウマ,知らずにヤクザを美人局のカモにしようとした男が、いやおうなしに引きずり込まれた暗黒の世界。そこで依頼人の恨みを代わりに晴らす回収屋となっていく。,国内アクション・アドベンチャー
劇場版 新・ミナミの帝王,地元商店を食い物にするあくどい計画と、陰謀に利用される女子高生達。地獄の沙汰も金次第とは言うものの、高利貸しの銀次郎は事件にどう立ち向かうのか!?,漫画が原作の国内映画
二重生活,大学院で哲学を学ぶ珠は教授の勧めを受け、隣人を尾行してみることに。隣人の秘密を知った珠は尾行にのめり込み、その影響は日常や恋人との関係を浸食してゆく。,ヒューマンドラマ
黒子のバスケ ウインターカップ総集編 ～扉の向こう～,"もうひとつの準決勝・秀徳VS洛山戦。そして、ついに決勝戦。かつて""キセキの世代""の主将を務めた天才選手が率いる絶対王者に誠凛が食らいつく。",スポーツアニメ
人狼ゲーム プリズン・ブレイク,"拉致・監禁した高校生たちに殺し合いをさせ、生き残った者には1億円が与えられる""人狼ゲーム""。参加者たちが生き残る手段は、殺し合いだけなのか...?",ホラー
大怪獣モノ,地底から巨大怪獣が現れ、日本は未曽有の大混乱に。残された最後の希望である万能細胞を注入された研究助手は巨人化し、人類の命運をかけた死闘に挑むのだが…。,アクションコメディ
家族はつらいよ,酔って妻の愚痴を言う夫と、そんな夫を優しく介抱する妻と子どもたち。どこにでもいる平凡で幸せな家族の日常が、ある日突然崩れ去る。引き金は妻の離婚宣言。,ヒューマンドラマ
闇金ドッグス4,すでにヤクザを引退し、元イケメンホストの相棒と一緒に闇金業を営む男の前に、刑期を終えた大兄貴分が帰ってくる。彼の社会復帰を助けようとするが...。,ヒューマンドラマ
ライチ光クラブ,9人の中学生が目指すのは、醜い大人のいない自分たちだけの世界。そのために開発されたロボットが、いよいよ起動する。少年たちの夢は果たして現実となるのか?,国内SF・ファンタジー
聖の青春,幼少期から難病に苦しみながらも人生の全てを将棋にささげた天才棋士、村山聖。将棋に没頭して勝利を重ねるが、その命に残された時間はあまりにも少なかった。,実話に基づくヒューマンドラマ
映画 妖怪ウォッチ 空飛ぶクジラとダブル世界の大冒険だニャン!,さくらニュータウンに空飛ぶ巨大クジラがとつぜん現れ、ケータや妖怪たちが実写に! アニメと実写ダブルの世界で、ありえニャイ大冒険がはじまるニャン!,キッズアニメ
planetarian～星の人～,滅びゆく世界に生きるレビ、ヨブ、ルツの前に現れた不思議な旅人。彼こそは、失われた星の美しさを語り継ぐ伝説の人。その壮大な人生の旅の物語が今幕を開ける。,ビデオゲームが原作のアニメ
植物図鑑 運命の恋、ひろいました,"突然現れた謎の男を""拾った""一人暮らしのさやかは、期限付きの同居生活の中で、野草の名前を教えてくれたり朝食を作ってくれる優しい彼に次第に惹かれていく。",日本アカデミー賞受賞映画
アルビノ,自分が女であることへの違和感を抱えて生きる主人公。あるとき1人の少女と出会い、激しく求め合うようになる。だがやがて、少女の暗い秘密を知り...?,LGBTQを描いたヒューマンドラマ
劇場版 しまじろうのわお! しまじろうと えほんのくに,しまじろうが海辺で見つけたなつかしい本。それは、ふしぎな世界への入り口だった…! 絵本の中に吸いこまれたしまじろうと仲間たちの大ぼう険へようこそ。,キッズ音楽
デジモンアドベンチャーtri. 第3章「告白」,メイクーモンが姿を消した。選ばれし子どもたちは、デジモンの感染が現実世界まで拡大するのを防ごうとする。残された唯一の方法は、リブートしかないのか…。,ビデオゲームが原作のアニメ
森山中教習所,高校時代の同級生だった、能天気な大学生と根暗なヤクザ。ひょんなことから再会した2人は一緒に自動車教習所に通い始め、いつもと違う青春の一夏が幕を開ける。,ヒューマンドラマ
映画 プリキュアオールスターズ みんなで歌う 奇跡の魔法!,人間界に遊びにきたみらいとリコだが、突然現れた魔女のソルシエールと仲間の魔法で離れ離れに! 魔女の狙いは、最悪の魔法の完成に必要なプリキュアの涙だった。,キッズ音楽
仮面ライダー1号,新たな悪の組織、ノバショッカーが、おそろしい計画を始動。長年戦い続けてきた仮面ライダー1号は仮面ライダーゴーストと力を合わせ、悪の野望に立ち向かう。,キッズ・ファミリー映画
好きでもないくせに,琴子は、昼は売れないモデル、夜はナンバーワンのキャバ嬢。ある日、合コンでモデル・陸に一目惚れ。本当に好きな男とはセックスできない琴子の複雑な心情を描く。,ヒューマンドラマ
世界から猫が消えたなら,猫と暮らす余命わずかな男の前に、悪魔が突然現れた。悪魔は、世界から何かを1つ消す代わりに男の寿命を1日延ばす。だが、消したものとの思い出も消えてしまう。,ヒューマンドラマ
黒子のバスケ ウインターカップ総集編 ～影と光～,"ウインターカップ1回戦、誠凛はインターハイのリベンジを果たすべく桐皇学園に挑む。黒子は、かつての""光""だった元チームメイトの青峰と向き合う。",スポーツアニメ
嫌な女,恋多き詐欺師気質の従姉に、婚約破棄で慰謝料を請求されたと泣きつかれた孤独で真面目な女弁護士。この日を境に、トラブルが起こるたび解決に駆り出され…。,ヒューマンドラマ
花芯,親の決めた許婚と結婚したものの、愛のない生活を送る女が、生まれて初めて恋を知る。相手は夫の上司。戸惑いながらも、子宮の叫びは抑えられなくなっていく。,ヒューマンドラマ
夢二 愛のとばしり,"""美人画""のモデルとなった妻との現実的な日常に、芸術家として葛藤していた竹久夢二。そんなある日、1人の女性と出会い、瞬く間に彼女との愛に溺れていく。",ヒューマンドラマ
タイマン,10年以上の腐れ縁の男子高校生2人が一目ぼれした女の子の兄は、学校史上最強と言われる男。それでも彼女を振り向かせるため、ケンカを売りに向かっていく。,国内アクション・アドベンチャー
手裏剣戦隊ニンニンジャー VS トッキュウジャー The Movie 忍者・イン・ワンダーランド,"闇博士マーブロが創り出した""闇忍者ランド""に迷い込んでしまった手裏剣戦隊ニンニンジャー。このピンチを救おうと現れたのは、烈車戦隊トッキュウジャーだった!",キッズ・ファミリー映画
黒子のバスケ ウインターカップ総集編 ～涙の先へ～,"ウインターカップを勝ち進む誠凛バスケ部。""キセキの世代""の選手を擁する強豪チームを相手に激しい攻防戦を繰り広げ、準々決勝、準決勝へと駒を進めていく。",スポーツアニメ
映画 魔法つかいプリキュア! 奇跡の変身! キュアモフルン!,100年に1度の大魔法フェスティバル。願いの石に選ばれたモフルンはナゾのクマ・ダークマターに連れ去られてしまう。でも、みんなの願いがキセキを起こす!,アニメ
劇場版ウルトラマンX きたぞ! われらのウルトラマン,太古の昔にふう印された閻魔獣(えんまじゅう)ザイゴーグが復活し、地球の平和をおびやかす。ウルトラヒーローたちと力を合わせ、戦え、ウルトラマンエックス!,キッズ・ファミリー映画
屋根裏の散歩者,"浮気性の若き医者が、ある館で遺体となって見つかった。その館に住む""散歩者""は、医者の自殺を目撃したのか? それともこれは、他殺だったのか?",ヒューマンドラマ
イタズラなKiss THE MOVIE ～ハイスクール編～,相原琴子は天才イケメンの入江直樹に告白するものの、あっさり撃沈。ところが、ひょんなことから琴子は直樹の家に居候することになり、イタズラな恋が動き出す!,ティーン向け恋愛・ラブストーリー
白鳥麗子でございます! THE MOVIE,ラブラブ同棲中の麗子と哲也。だが故郷の下田では、リゾート開発を進める麗子の実家が哲也の父ら漁師たちと対立。麗子も哲也との交際を禁じられてしまう。,ラブコメディ
ポッピンQ,"中学の卒業式当日、海で""時のカケラ""を拾い、""時の谷""に迷い込んだ伊純。そこで悩みを抱える少女5人が出会い、ダンスを通して、前に進み始める。",キッズアニメ
無伴奏,学園紛争まっただなかの1969年。時代の波に乗り革命を訴える女子高生が、3人の自由な若者と出会う。彼らとつるむようになり、初恋に身を焦がすが...。,ティーン向け恋愛・ラブストーリー
尾崎支配人が泣いた夜 DOCUMENTARY of HKT48,AKB48の姉妹グループ、HKT48。少女達は挫折を味わい、苦悩しながらも、決して夢を諦めない。情熱に燃える博多娘達の本気と本音、そして素顔に迫る。,ショービジネスの世界を描いたドキュメンタリー
オーバー・フェンス,妻と別れた男は故郷の函館に戻り、職業訓練学校に通う日々。ただ働いて死ぬだけの何も無い人生だと思っていたが、ある出会いをきっかけに過去と向き合い始める。,ヒューマンドラマ
少女椿,母が死んでひとりぼっちの少女が、あらゆる見世物がそろった怪しいサーカス団に拾われる。そこには、めくるめくエロチックでグロテスクな世界が花開いていた。,国内SF・ファンタジー
彼岸島 デラックス,行方不明の兄・篤を捜すため、吸血鬼や巨大な化け物がはびこる彼岸島に上陸した宮本明は、島で必死の抵抗を続けるレジスタンスの村人らと共に過酷な戦いに挑む。,ホラー
夏美のホタル,亡き父との思い出の森へ向かった夏美は、老女と息子が営む小さな商店に居候させてもらうことに。夏美は穏やかな生活を楽しむが、やがて2人が抱える痛みを知る。,ヒューマンドラマ
バースデーカード,10歳のときに母を亡くした紀子。子供達が20歳になるまで毎年バースデーカードを贈ると約束した母。毎年、紀子の誕生日には亡き母の思いを託した手紙が届く。,日本アカデミー賞受賞映画
KING OF PRISM by PrettyRhythm,華々しいデビューを飾ったOver The Rainbowのライブでプリズムショーに魅了された一条シンは、プリズムスタァを夢見て養成校エーデルローズに入学する。,ビデオゲームが原作のアニメ
全員、片想い,幼なじみ、いとこ同士、ルームメイト、職場の同僚。どんなに好きになっても届くことのない、切ない思い…。そんな8つの恋模様を描く、甘酸っぱい片思いの物語。,ラブロマンス
道頓堀よ、泣かせてくれ! DOCUMENTARY of NMB48,大阪に誕生したアイドルグループ、NMB48。華やかな舞台の裏には、汗と涙にまみれて夢を追い続けるメンバー達の姿が。少女達のリアルな光と影がここにある。,ショービジネスの世界を描いたドキュメンタリー
サマータイムエンジェル,進路が決まらない高校生の比呂は、夏休みを前にヒーローになろうと決心する。へなちょこぶりがハンパない女子高生ヒーローは、悪の手から世界を守りきれるのか!?,コメディ
存在する理由 DOCUMENTARY of AKB48,国内で人気の頂点に君臨するトップアイドルが、活動11年目を記念し、後輩たちを歓迎する。次世代メンバーたちは先輩たちの後に続く意味について語る。,ショービジネスの世界を描いたドキュメンタリー
蜜のあわれ,老作家は、小悪魔的な美少女と共に暮らしている。実は、この少女の正体は真っ赤な金魚。作家への愛を募らせた女幽霊が現れ、世にも奇妙な三角関係が幕を開ける。,ヒューマンドラマ
クハナ！,寂れた街の小学校に、元ジャズプレーヤーの先生がやって来た。これを機に、少女達はビッグバンドを始め、大人達や曇りがちな日々に元気と笑顔を取り戻してゆく。,ヒューマンドラマ
攻殻機動隊 新劇場版,"総理大臣暗殺という衝撃の事態に揺れる日本。捜査にあたった草薙素子率いる""寄せ集めメンバー""は、世界の将来を左右する電脳ウイルスの存在をつかむが…。",国内SF・ファンタジー
日本のいちばん長い日,日本がポツダム宣言受諾による降伏を迫られた太平洋戦争末期。終戦に反対する青年将校たちがクーデターを計画する中、天皇と内閣は国の運命を懸けた決断を下す。,実話に基づくヒューマンドラマ
アイアムアヒーロー,恐ろしいウイルス感染により、瞬く間に地獄へと変わっていく日本列島。金も才能も、そして度胸もない漫画家志望のさえない男を、極限のサバイバルが待ち受ける!,ホラー
ドラゴンボールZ 復活の「F」,フリーザ軍の残党、ソルベとタゴマはドラゴンボールを使い、フリーザをよみがえらせた。悟空とベジータは、復活してパワーアップした宿敵との空前絶後の戦いへ!,日本アカデミー賞受賞映画
進撃の巨人 ATTACK ON TITAN,人間を喰らう巨人の陰に脅える人類が、巨大な壁の内側でひっそりと暮らす世界。調査兵団の兵士となった青年エレンは巨人との激しい戦いに身を投じていく。,国内SF・ファンタジー
天空の蜂,機内に子供が残されたまま、超巨大ヘリコプターが奪われた。犯人の標的は原子力発電所。限られた時間の中、ヘリの設計者と原発の設計者は凶行を阻むべく奔走する。,国内アクション・アドベンチャー
新宿スワン,金も仕事もない主人公がある人に気に入られ、新宿・歌舞伎町のスカウトマンとなる。夜の女たちを幸せにすることを信条に、生きていくことを誓うのだが...。,国内アクション・アドベンチャー
進撃の巨人 ATTACK ON TITAN エンド オブ ザ ワールド,エレンの巨人化の謎、そして世界の運命を左右する驚くべきカラクリが明かされる。惨劇の恐怖が人類に迫る中、エレン、ミカサ、アルミンの最後の戦いが始まる。,国内SF・ファンタジー
杉原千畝 スギハラチウネ,リトアニアに赴任した外交官の杉原千畝はユダヤ人の迫害を目にし、日本政府の命に背いて彼らにビザを発給することを決断する。数千人を救った男の真実の物語。,実話に基づくヒューマンドラマ
劇場版「進撃の巨人」後編〜自由の翼〜,それは人類の救世主か、それとも破滅に導く悪魔か...。巨人を倒すため、自ら巨人化する少年の運命はいかに。アニメ界にその名を轟かせた作品の劇場版後編。,国内SF・ファンタジー
イニシエーション・ラブ,恋愛下手な鈴木は、合コンで出会った魅力的な女性・マユと恋に落ちる。やがて鈴木は東京への転勤が決まり、2人は遠距離恋愛でも変わらぬ関係を続けていたが...。,ラブロマンス
orange-オレンジ-,高校生の菜穂に10年後の自分から届いた手紙。翔を好きになるが、1年後には翔が死んでいるという。運命を変えるべく動いた先にある、温かくも切ない結末とは?,日本アカデミー賞受賞映画
屍者の帝国,19世紀末の英国、医学生のジョン・ワトソンは、死者をよみがえらせる禁断の技術を記した手記の捜索を命じられる。手記を巡る混乱が迫る中、壮大な旅が始まる。,国内SF・ファンタジー
あん,"どら焼き屋""どら春""の雇われ店長が76歳の老女、徳江を雇う。彼女が作る粒あんがあまりに美味しく、店は繁盛するが、心ない噂が彼らの運命を変えていく。",ヒューマンドラマ
ピース オブ ケイク,恋愛も仕事も流されるまま、なんとなく生きてきた25歳の梅宮志乃。心機一転、引っ越しをしたその夜に隣人の京志郎に出会い、思いを寄せるようになるが...。,漫画が原作の国内映画
バクマン。,クラスメイトから漫画家になろうと誘われた高校生。プロの漫画家だった叔父が過労死したことから最初は渋っていたが、あることがきっかけで漫画家を目指すことに。,日本アカデミー賞受賞映画
極道大戦争,噛まれたら全員ヤクザ!? ヤクザ・ヴァンパイアに噛まれたカタギ・ヤクザ VS リアル・ヤクザの戦いと強敵の襲来を超えて、最後に生き残るのは誰だ?,アクションコメディ
リアル鬼ごっこ　2015劇場版,バスで修学旅行中の女子高生たちが突然異常な事故で命を落とす。一人生き残った女子高生は、何者かに追われ逃げるうちに、シュールで暴力的な異世界に入り込む。,ホラー
デジモンアドベンチャーtri. 第1章「再会」,"太一は高校生になり、かつての冒険は遠い昔のよう。そんなある日、デジモンが暴れ出す事件が発生。太一と""選ばれし子どもたち""の物語が、再び動き始める。",ビデオゲームが原作のアニメ
劇場版 ウルトラマンギンガS 決戦! ウルトラ10勇士!!,新世代のウルトラマンたちが、超時空魔神エタルガーに封印された!? ウルトラマンギンガとウルトラマンビクトリーの力がひとつになり、強敵に立ち向かう!,キッズ・ファミリー映画
ヒロイン失格,はとりは自分こそが幼なじみの利太と結ばれる運命だと信じている。だが、利太が自分以外の女子と付き合い始め、はとりもまた別の男子と付き合うことになるが...。,ティーン向け恋愛・ラブストーリー
映画 妖怪ウォッチ エンマ大王と5つの物語だニャン!,5つの物語を通して、妖怪と人間の絆を描き出す「妖怪ウォッチ」劇場版第2弾。おなじみのキャラたちが、人間界と妖魔界を舞台に繰り広げるドキドキの大冒険!,ビデオゲームが原作のアニメ
hide 50th anniversary FILM『JUNK STORY』,1998年の突然の死からどれほどの時が経っても、X JAPANのギタリストhideの伝説が色褪せることはない。彼が残したサウンドとメッセージをここに。,国内ドキュメンタリー
ピンクとグレー,幼なじみを有名にすると約束した後、この世を自ら去った若き俳優。残された遺書に導かれ、親友は言葉通りスターの地位を手に入れるが、次第に自分を見失っていく。,ヒューマンドラマ
ハーモニー,"""大災禍""から復興し、健康と調和を重んじる高度な医療社会に移行した近未来。自殺未遂の過去を持つ螺旋監察官の霧慧トァンが、謹慎処分で日本に帰国してくる。",国内SF・ファンタジー
リトルウィッチアカデミア 魔法仕掛けのパレード,アッコとルーナノヴァ魔法学校の同級生が、魔女狩りの歴史を再現したパレードに参加することに。でもどうせならこのイベント、もっとポジティブにしたい!,国内SF・ファンタジー
NINJA THE MONSTER,"江戸へ向かう幸姫は、道中で謎の""もののけ""に襲われる。姫を守るのは、素性を隠した忍者・伝蔵。命がけで旅を続ける中、2人の間に特別な思いが芽生えてゆく。",国内アクション・アドベンチャー
劇場版 蒼き鋼のアルペジオ -アルス・ノヴァ- Cadenza,幾多の戦闘をくぐり抜け、ついに人類の切り札をアメリカに届けることに成功した千早群像とイオナ、そして乗組員たち。だが、群像の目的は、他にあった…。,主人公最強アニメ
すんドめ,転校してきた美少女に完全に心を奪われた英男。だが彼女はとんでもない小悪魔だった! 悲しき童貞の、絶対服従の恋はどうなる?,漫画が原作の国内映画
しまじろうとおおきなき,しまじろうと仲間たちは、大きな木のある島に到着。いじわるなクモのきょうだいにさらわれてしまったはなちゃんを助けることができるのか?,キッズ音楽
ソロモンの偽証 後篇・裁判,前代未聞の中学生による校内裁判、遂に開廷。様々な思惑が絡み合う中、誰もが真相を求めて奔走し、嘘に隠された真実が暴かれる。その果てに下される評決とは…。,日本アカデミー賞受賞映画
劇場版 蒼き鋼のアルペジオ -アルス・ノヴァ- DC,"謎に包まれた""霧の艦隊""が世界の海域を封鎖。疲弊する人類を救う最後の切り札を量産するため、若き日本の士官候補生らを乗せた潜水艦が、アメリカを目指す。",主人公最強アニメ
劇場版 仮面ライダードライブ サプライズ・フューチャー,「世界はロイミュードに支配される」と進ノ介に語ったのは、未来から来た息子、エイジ。強大な敵、迫る最悪の未来。苦渋の末、進ノ介が下した涙の決断とは!?,キッズ・ファミリー映画
劇場版 弱虫ペダル,インターハイ優勝後、熊本でのレースに招かれた総北高校自転車競技部。全国の強豪との激闘に向け、メンバーは気合い満点。だが、予期せぬ事態が待ち受けていた。,スポーツアニメ
ソロモンの偽証 前篇・事件,遺体で発見された中学生は自殺したのか、いじめの末に殺されたのか。クラス委員は保身に走る大人に見切りをつけ、真実を暴く学校内裁判の開催を求めて動き出す。,日本アカデミー賞受賞映画
仮面ライダー×仮面ライダー ゴースト&ドライブ 超MOVIE大戦ジェネシス,仮面ライダーゴーストとドライブはワームホールに吸いこまれ、10年前の過去の世界へ。全ては、眼魔(がんま)の手によってよみがえったあの大天才のわなだった!,キッズ・ファミリー映画
ストロボ・エッジ,高校生の仁菜子に訪れた初めての恋。その相手・蓮は学校一の人気者で、しかも年上の彼女がいた。蓮への想いが募る中、仲のいい同級生・大樹から告白され…。,ティーン向け恋愛・ラブストーリー
青鬼 ver.2.0,不登校の同級生シュンの家に向かっていたひろしと杏奈。そしてシュンをいじめていた生徒たち。怪物が出ると噂される無人の洋館で彼らが遭遇したのは、究極の恐怖。,ホラー
映画 ハイ・スピード! -Free! Starting Days-,中学生になり、水泳部へ入った遙と真琴。新たな仲間達とメドレーリレーのチームを組むが、前途は多難。少年達は悩みを抱えながら、本当のチームを目指してゆく。,スポーツアニメ
駆込み女と駆出し男,江戸時代後期、離縁を求める女達が駆け込む縁切寺があった。見習い医者は、女達の身柄を預かる宿に居候。男と女のもつれた糸をほぐし、女達の助けになってゆく。,ヒューマンドラマ
くちびるに歌を,代理の音楽教師として数年ぶりに故郷に戻った元天才ピアニスト・柏木ユリ。嫌々合唱部の顧問になり、生徒達が抱える悩みや自らの辛い過去に向き合っていく。,ヒューマンドラマ
天才バカヴォン～蘇るフランダースの犬～,バカボンを狙う悪の組織が送り込んだ刺客は、あの名作の主人公ネロとパトラッシュだった! 人間への復讐心に燃えるネロと天才バカボンの戦いの行方やいかに?!,コメディ・ギャグアニメ
Zアイランド,逮捕された弟分、武史の娘の世話をしていた元ヤクザの組長。10年後の出所で娘との再会を心待ちにしていた武史。ところが娘の日向は家出をしてしまい...。,アクションコメディ
人狼ゲーム クレイジーフォックス,"ある日突然、高校生たちが命を賭けた""人狼ゲーム""に参加させられる。あやかは""狐""のカードを手に、誰をも信じられないゲームで1人生き残ろうと奮闘する。",ホラー
犯る男,運河沿いのテントで愛犬と暮らす吉井は、押し込み強盗をしながら暮らしていた。ある日、盗んだ携帯電話にあったユリ子の写真を見た彼は、彼女の家を襲うと決める。,ヒューマンドラマ
ビハインド・ザ・コーヴ ~捕鯨問題の謎に迫る~,イルカ漁の実態が公開され、世界から注目されることになった捕鯨問題。本作が初の映画制作となる女性監督が、独自の調査で捕鯨論争に鋭く切り込んでいく。,政治ドキュメンタリー
映画 プリキュアオールスターズ 春のカーニバル,ハルモニアで春のカーニバルが開幕! 先輩プリキュアの歌とダンスに大感激の春野はるか。ところが、妖精たちが行方不明になり、会場はパニックに...!,アニメ
おんなのこきらい,可愛いことに至上の価値を見出すキリコは、顔も洋服もしぐさも、すべてが可愛くてモテモテの女の子。でも実は、可愛いものを食べては吐き戻す過食症女子だった。,ヒューマンドラマ
ストレイヤーズ・クロニクル,ある極秘機関の実験により誕生した、特殊な能力を持つ子供たち。彼らのうち絶望に満ちた1組は未来の破壊を望み、もう1組は未来への希望を信じて戦いを挑む。,国内SF・ファンタジー
ケンとカズ,恋人の妊娠を機に裏社会から足を洗おうとするケンと、母親を施設に入れるために金が必要なカズ。厳しい現実に直面した2人は、危険な仕事に手を染めるのだが...。,インディーズ映画
トイレのピエタ,画家への夢を諦めてフリーター生活を送っていた青年。余命3ヵ月と告げられ人生最期の夏を意識した時、立ちはだかるように現れた女子高生に惹かれ...。,泣けるラブロマンス
通学途中,内気で恋に不器用な女子高生ユキが恋したカレには彼女がいる。その現実を受け入れたいけど想いは募るばかり…。でも、そんなユキをずっと見守っている人もいる。,ティーン向け恋愛・ラブストーリー
劇場版総集編 前編 『ハイキュー!! 終わりと始まり』,バレーボールに夢中の日向が目指すのは、全国の頂点に立つこと。意気揚々と高校に入学した日向だったが、チームの中には因縁のライバル、影山の姿があった。,スポーツアニメ
はなちゃんのみそ汁,結婚を前に乳がんを宣告された知恵。がんと闘いながら結婚、妊娠、出産を経験するが数年後に再発。母としての想いを伝えるため、娘に食の大切さを教え始める。,実話に基づくヒューマンドラマ
劇場版総集編 後編 『ハイキュー!! 勝者と敗者』,全国大会を目指し奮闘を続ける烏野高校が挑む、絶対に負けられない県予選。強豪チーム相手に苦戦する日向と影山は、己の限界を超え、勝利を掴みとれるのか?!,スポーツアニメ
すんドめ2,サディスティックな転校生の美少女が、性的欲求不満の男子生徒を翻弄する。ちょっとエッチな学園ラブコメディの第2弾。,漫画が原作の国内映画
FOUJITA,1920年代、エコール・ド・パリの寵児(ちょうじ)となっていたフジタ。戦争を機に日本に戻り、日本美術界の重鎮に上りつめた彼は、疎開先で敗戦を迎えるが...。,実話に基づくヒューマンドラマ
ガールズ・ステップ,地味で友達もいない5人の女子高生が、ひょんなことからダンス部を結成。失敗を重ねながらもひたむきにダンスを続けていくうちに友情が芽生え、共に成長していく。,ヒューマンドラマ
通学電車,電車で通学しているユウナは、車内で見かけるハルに片想い。毎朝、ただ見ているだけで幸せ。だが、ある朝目を覚ますと、なぜかハルが隣で寝ていて、びっくり!,ティーン向け恋愛・ラブストーリー
映画かいけつゾロリ うちゅうの勇者たち,大ブームのうちゅうの石をさがし始めたゾロリたちは、ひょんなことからうちゅうに放り出される。たどり着いたナゾの星で、かいじゅうたいじを引き受けるハメに。,キッズ・ファミリー映画
ザ・バース・オブ・サケ,老舗酒蔵「吉田酒造店」の酒造りに密着し、職人たちの技と献身的姿勢を通して酒造りの文化を伝えるドキュメンタリー。,ドキュメンタリー
家族ごっこ,"他人が疑似家族を演じる""鈴木ごっこ""に、遺産を狙って愛人が集まる山崎家、貧乳比べで家族崩壊の危機を迎える田中家。ありえない家族たちのオムニバス映画。",ヒューマンドラマ
夏ノ日、君ノ声,ケンカで怪我をした高校2年生の哲夫は、入院先の病院で、聞くことも話すこともできない舞子と出会う。筆談で交流を重ねるうち、2人はいつしか惹かれ合い…。,ティーン向け恋愛・ラブストーリー
誘惑遊女　～ソラとシド～,"田舎町にある昔ながらの風俗店""どれみ""で働く空と志渡は姉妹のように仲良し。しかし、街の浄化運動による再開発で、店に立ち退きの危機が迫っていた。",ヒューマンドラマ
映画『ブラフマン』,結成から20年、日本のバンド界を牽引してきた孤高のライブバンドBRAHMAN。インタビューと映像を通して、その軌跡と音楽に込めた思いが明らかになる。,国内ドキュメンタリー
アイドルの涙 Documentary of SKE48,アイドルグループSKE48、初のドキュメンタリー。メンバーもファンもスタッフも泣いて築いた涙の歴史。熱い思いを吐露する少女達の姿に、心が揺さぶられる!,ショービジネスの世界を描いたドキュメンタリー
闇金ウシジマくん Part2,金に困ったクズに超暴利で貸し付け、容赦なく取り立てるアウトローの闇金社長ウシジマ。彼の周りには、金の匂いを嗅ぎつけたハイエナたちが、今日も群がってくる。,ヒューマンドラマ
愛の渦,サラリーマン、女子大生、ニート...。乱交パーティーに集った見ず知らずの男女8人が徐々に欲望を曝け出し本性を露わにしていく姿を真っ向から描いた問題作。,ヒューマンドラマ
聖闘士星矢 LEGEND of SANCTUARY,不思議な力を持つ少女は聖闘士の少年に救われ、自らの運命を知る。その行く手には、黄金聖闘士との死闘が待っていた。「聖闘士星矢」シリーズ劇場公開6作目。,国内SF・ファンタジー
るろうに剣心 伝説の最期編,日本征服を狙う志々雄は、東京へ侵攻を開始。このままでは宿敵を倒せないと悟った剣心は、師匠に奥義の伝授を懇願。全てを終わらせるため、剣心は最後の戦いへ!,国内アクション・アドベンチャー
劇場版「進撃の巨人」前編〜紅蓮の弓矢〜,巨人の餌と化した人類は、その侵略に怯え壁内の世界で暮らしていたが、その壁を越える超大型巨人が出現する。10才の少年・エレンは、仲間を率いて戦いを挑む。,国内SF・ファンタジー
るろうに剣心 京都大火編,不殺の誓いを立てた伝説の剣士、緋村剣心の前に立ちはだかる最狂の敵、志々雄真実。日本転覆を企てる男の狂気と恐るべき陰謀が、容赦なく剣心に襲いかかる。,国内アクション・アドベンチャー
トリック劇場版 ラストステージ,商社からの依頼で秘境の地へとやって来た物理学者の上田と自称天才奇術師の奈緒子。そこでは、謎めいた呪術師が現地住民を扇動し、企業活動を妨害していた。,ミステリー
渇き。,精神を病んだ元刑事・藤島の娘、加奈子が失踪した。自身の心の闇と戦いながら加奈子の行方を調査する中で、藤島は隠された娘の素顔を知ることになる。,犯罪サスペンス
アップルシード アルファ,世界大戦後の荒廃したニューヨークで、女性隊員と相棒のサイボーグは戦いの日々を送る。理想都市オリュンポスでの安息を夢見る2人の前に、謎の少女が現れる。,国内SF・ファンタジー
神さまの言うとおり,退屈な日々を過ごす高校生たちが、ある日突然、命をかけた授業の始まりを告げられる。次々と出される課題をクリアしなければ即、死。これは遊び? それとも…。,ホラー
